"",BBK01.OELI09G,BBK01.OELI09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:16,
2002-01,5.658,
2002-04,5.394,
2002-07,5.261,
2002-10,5.199,
2003-01,4.809,
2003-04,4.426,
2003-07,4.186,
2003-10,4.588,
2004-01,4.690,
2004-04,4.657,
2004-07,4.670,
2004-10,4.671,
2005-01,4.671,
2005-04,4.640,
2005-07,4.468,
2005-10,4.377,
2006-01,4.353,
2006-04,4.325,
2006-07,4.472,
2006-10,4.950,
2007-01,5.044,
2007-04,4.747,
2007-07,4.514,
2007-10,4.277,
2008-01,3.901,
2008-04,3.489,
2008-07,3.218,
2008-10,3.426,
2009-01,3.905,
2009-04,4.589,
2009-07,5.351,
2009-10,6.541,
2010-01,6.895,
2010-04,6.542,
2010-07,6.011,
2010-10,5.424,
2011-01,5.005,
2011-04,4.915,
2011-07,4.784,
2011-10,4.666,
2012-01,4.476,
2012-04,4.220,
2012-07,4.067,
2012-10,4.026,
2013-01,4.001,
2013-04,3.986,
2013-07,4.017,
2013-10,4.223,
2014-01,4.257,
2014-04,4.339,
2014-07,4.305,
