"",BBK01.OEHB16S,BBK01.OEHB16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:15,
2002-01,1.646,
2002-04,1.653,
2002-07,1.632,
2002-10,1.613,
2003-01,1.589,
2003-04,1.600,
2003-07,1.583,
2003-10,1.583,
2004-01,1.536,
2004-04,1.535,
2004-07,1.516,
2004-10,1.518,
2005-01,1.481,
2005-04,1.463,
2005-07,1.461,
2005-10,1.461,
2006-01,1.430,
2006-04,1.432,
2006-07,1.430,
2006-10,1.436,
2007-01,1.414,
2007-04,1.411,
2007-07,1.417,
2007-10,1.416,
2008-01,1.412,
2008-04,1.413,
2008-07,1.410,
2008-10,1.412,
2009-01,1.407,
2009-04,1.414,
2009-07,1.417,
2009-10,1.418,
2010-01,1.406,
2010-04,1.423,
2010-07,1.429,
2010-10,1.455,
2011-01,1.461,
2011-04,1.476,
2011-07,1.485,
2011-10,1.509,
2012-01,1.511,
2012-04,1.523,
2012-07,1.538,
2012-10,1.550,
2013-01,1.562,
2013-04,1.579,
2013-07,1.592,
2013-10,1.598,
2014-01,1.598,
2014-04,1.602,
2014-07,1.615,
