"",BBK01.OECL08N,BBK01.OECL08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:08,
2002-01,4.686,
2002-04,2.783,
2002-07,2.741,
2002-10,3.112,
2003-01,3.081,
2003-04,2.986,
2003-07,3.650,
2003-10,3.631,
2004-01,3.396,
2004-04,3.345,
2004-07,4.432,
2004-10,4.659,
2005-01,11.832,
2005-04,11.806,
2005-07,11.499,
2005-10,11.170,
2006-01,10.964,
2006-04,10.742,
2006-07,10.448,
2006-10,10.301,
2007-01,10.389,
2007-04,10.226,
2007-07,9.959,
2007-10,10.091,
2008-01,9.952,
2008-04,10.225,
2008-07,9.817,
2008-10,9.888,
2009-01,10.173,
2009-04,10.797,
2009-07,11.600,
2009-10,12.178,
2010-01,12.348,
2010-04,12.198,
2010-07,12.261,
2010-10,12.382,
2011-01,12.127,
2011-04,11.635,
2011-07,11.529,
2011-10,11.480,
2012-01,12.992,
2012-04,12.749,
2012-07,12.738,
2012-10,12.943,
2013-01,12.185,
2013-04,11.988,
2013-07,11.690,
2013-10,11.769,
2014-01,11.524,
2014-04,11.314,
2014-07,11.519,
