"",BBSF2.M.1.P.00000.IMM01.I.F.DGG.U3.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.DGG.U3.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Loans granted to real estate companies / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:37,
2009-09,987,
2009-10,988,
2009-11,1082,
2009-12,1111,
2010-01,1119,
2010-02,1124,
2010-03,1156,
2010-04,1163,
2010-05,1103,
2010-06,1076,
2010-07,1177,
2010-08,1185,
2010-09,1195,
2010-10,1173,
2010-11,1207,
2010-12,1170,
2011-01,1043,
2011-02,1024,
2011-03,1015,
2011-04,1020,
2011-05,1041,
2011-06,1008,
2011-07,1018,
2011-08,1015,
2011-09,1021,
2011-10,1027,
2011-11,982,
2011-12,1054,
2012-01,1061,
2012-02,1064,
2012-03,988,
2012-04,1011,
2012-05,1009,
2012-06,1012,
2012-07,998,
2012-08,999,
2012-09,987,
2012-10,986,
2012-11,1064,
2012-12,1091,
2013-01,1103,
2013-02,1104,
2013-03,1058,
2013-04,1054,
2013-05,1050,
2013-06,1076,
2013-07,922,
2013-08,923,
2013-09,919,
2013-10,916,
2013-11,911,
2013-12,955,
2014-01,968,
2014-02,962,
2014-03,950,
2014-04,949,
2014-05,942,
2014-06,909,
2014-07,897,
2014-08,881,
2014-09,864,
2014-10,817,
2014-11,831,
