"",BBK01.OEAH67U,BBK01.OEAH67U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:35,
2002-01,10.129,
2002-04,9.810,
2002-07,9.793,
2002-10,10.115,
2003-01,10.178,
2003-04,10.111,
2003-07,10.198,
2003-10,10.489,
2004-01,10.546,
2004-04,10.517,
2004-07,10.562,
2004-10,10.872,
2005-01,11.641,
2005-04,11.583,
2005-07,11.504,
2005-10,11.678,
2006-01,11.735,
2006-04,11.618,
2006-07,11.479,
2006-10,11.537,
2007-01,11.512,
2007-04,11.393,
2007-07,11.321,
2007-10,11.516,
2008-01,11.402,
2008-04,11.240,
2008-07,11.047,
2008-10,11.362,
2009-01,11.435,
2009-04,11.460,
2009-07,11.607,
2009-10,12.053,
2010-01,12.160,
2010-04,12.171,
2010-07,12.196,
2010-10,12.426,
2011-01,12.485,
2011-04,12.408,
2011-07,12.368,
2011-10,12.456,
2012-01,12.545,
2012-04,12.513,
2012-07,12.545,
2012-10,12.689,
2013-01,12.723,
2013-04,12.651,
2013-07,12.625,
2013-10,12.689,
2014-01,12.675,
2014-04,12.597,
2014-07,12.665,
