"",BBK01.OEHI02Q,BBK01.OEHI02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:35,
2002-01,5.768,
2002-04,5.756,
2002-07,5.701,
2002-10,6.110,
2003-01,6.094,
2003-04,6.177,
2003-07,6.313,
2003-10,6.580,
2004-01,6.484,
2004-04,6.591,
2004-07,6.654,
2004-10,6.842,
2005-01,6.883,
2005-04,7.088,
2005-07,7.381,
2005-10,7.852,
2006-01,7.589,
2006-04,7.741,
2006-07,8.019,
2006-10,8.184,
2007-01,7.938,
2007-04,8.157,
2007-07,8.138,
2007-10,8.304,
2008-01,8.044,
2008-04,8.035,
2008-07,8.013,
2008-10,8.747,
2009-01,9.996,
2009-04,10.415,
2009-07,10.940,
2009-10,11.645,
2010-01,11.368,
2010-04,11.467,
2010-07,11.597,
2010-10,11.640,
2011-01,11.331,
2011-04,11.275,
2011-07,11.645,
2011-10,11.906,
2012-01,11.691,
2012-04,11.924,
2012-07,12.181,
2012-10,12.637,
2013-01,12.673,
2013-04,13.234,
2013-07,13.448,
2013-10,13.811,
2014-01,13.828,
2014-04,14.166,
2014-07,14.416,
