"",BBK01.CEFFC3,BBK01.CEFFC3_FLAGS
"",long-term loans                                              debtor: General government                        creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:33,
1999-01,437.1,
1999-04,435.9,
1999-07,431.5,
1999-10,434.4,
2000-01,443.3,
2000-04,444.6,
2000-07,438.4,
2000-10,432.4,
2001-01,426.2,
2001-04,423.7,
2001-07,420.2,
2001-10,410.2,
2002-01,403.7,
2002-04,399.3,
2002-07,395.9,
2002-10,389.0,
2003-01,382.9,
2003-04,382.1,
2003-07,384.1,
2003-10,385.7,
2004-01,382.4,
2004-04,379.8,
2004-07,379.2,
2004-10,364.0,
2005-01,362.4,
2005-04,354.4,
2005-07,358.0,
2005-10,348.8,
2006-01,341.9,
2006-04,335.5,
2006-07,330.2,
2006-10,330.2,
2007-01,318.4,
2007-04,314.2,
2007-07,309.3,
2007-10,302.9,
2008-01,309.2,
2008-04,309.0,
2008-07,302.3,
2008-10,300.8,
2009-01,293.6,
2009-04,295.7,
2009-07,293.8,
2009-10,291.9,
2010-01,287.0,
2010-04,300.4,
2010-07,301.3,
2010-10,314.2,
2011-01,316.0,
2011-04,307.7,
2011-07,309.7,
2011-10,302.2,
2012-01,297.9,
2012-04,291.5,
2012-07,298.9,
2012-10,297.1,
2013-01,299.7,
2013-04,299.5,
2013-07,299.7,
2013-10,296.3,
2014-01,290.1,
2014-04,285.0,
2014-07,280.8,
