"",BBFI1.Q.N.DE.W1.S122.S1.LE.L.FA.O.F2.L._T.N.N,BBFI1.Q.N.DE.W1.S122.S1.LE.L.FA.O.F2.L._T.N.N_FLAGS
"","IIP - Other Investment - Currency and deposits - Deposit taking corporations, except the Central Bank - Long-term original maturity (over 1 year) - Liabilities - Positions",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:43,
1999-10,287651,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,304383,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,313723,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,299505,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,279979,
2004-01,275255,
2004-04,273388,
2004-07,276479,
2004-10,263801,
2005-01,266122,
2005-04,276883,
2005-07,273245,
2005-10,263307,
2006-01,258355,
2006-04,254747,
2006-07,254211,
2006-10,240722,
2007-01,233833,
2007-04,236448,
2007-07,232787,
2007-10,218009,
2008-01,210750,
2008-04,205936,
2008-07,218250,
2008-10,222588,
2009-01,222055,
2009-04,216755,
2009-07,209439,
2009-10,197762,
2010-01,202342,
2010-04,205957,
2010-07,199214,
2010-10,200690,
2011-01,194302,
2011-04,188354,
2011-07,195946,
2011-10,191318,
2012-01,191853,
2012-04,187973,
2012-07,186709,
2012-10,179702,
2013-01,170270,
2013-04,167646,
2013-07,165414,
2013-10,163114,
2014-01,159838,
2014-04,155592,
2014-07,152471,
