"",BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Foreign trade additions incl. CIF / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:42,
1991-01,-1.83,
1991-02,-2.08,
1991-03,-1.85,
1991-04,-2.03,
1991-05,-1.84,
1991-06,-2.14,
1991-07,-1.93,
1991-08,-2.06,
1991-09,-1.89,
1991-10,-1.70,
1991-11,-2.07,
1991-12,-1.83,
1992-01,-1.96,
1992-02,-1.95,
1992-03,-2.22,
1992-04,-2.17,
1992-05,-1.80,
1992-06,-1.79,
1992-07,-2.19,
1992-08,-1.98,
1992-09,-1.66,
1992-10,-2.07,
1992-11,-1.99,
1992-12,-2.22,
1993-01,-1.98,
1993-02,-1.88,
1993-03,-1.74,
1993-04,-1.97,
1993-05,-2.09,
1993-06,-2.14,
1993-07,-1.89,
1993-08,-2.40,
1993-09,-2.47,
1993-10,-2.40,
1993-11,-2.12,
1993-12,-2.29,
1994-01,-2.47,
1994-02,-2.44,
1994-03,-2.18,
1994-04,-2.37,
1994-05,-2.46,
1994-06,-2.10,
1994-07,-2.55,
1994-08,-2.38,
1994-09,-2.53,
1994-10,-2.36,
1994-11,-2.42,
1994-12,-2.38,
1995-01,-2.50,
1995-02,-2.83,
1995-03,-2.27,
1995-04,-2.67,
1995-05,-2.27,
1995-06,-2.20,
1995-07,-2.38,
1995-08,-2.42,
1995-09,-2.55,
1995-10,-2.47,
1995-11,-2.31,
1995-12,-2.28,
1996-01,-2.19,
1996-02,-2.66,
1996-03,-2.83,
1996-04,-2.57,
1996-05,-2.66,
1996-06,-2.39,
1996-07,-2.82,
1996-08,-2.53,
1996-09,-2.81,
1996-10,-2.78,
1996-11,-2.91,
1996-12,-2.25,
1997-01,-2.80,
1997-02,-2.68,
1997-03,-2.71,
1997-04,-2.64,
1997-05,-3.27,
1997-06,-2.59,
1997-07,-2.93,
1997-08,-2.70,
1997-09,-2.77,
1997-10,-2.89,
1997-11,-3.12,
1997-12,-3.00,
1998-01,-3.14,
1998-02,-2.92,
1998-03,-3.29,
1998-04,-2.95,
1998-05,-2.85,
1998-06,-3.54,
1998-07,-3.10,
1998-08,-2.99,
1998-09,-3.07,
1998-10,-3.23,
1998-11,-3.12,
1998-12,-3.56,
1999-01,-1.64,
1999-02,-2.57,
1999-03,-3.08,
1999-04,-2.85,
1999-05,-3.12,
1999-06,-3.13,
1999-07,-3.10,
1999-08,-2.14,
1999-09,-3.13,
1999-10,-2.96,
1999-11,-3.12,
1999-12,-2.76,
2000-01,-3.17,
2000-02,-3.21,
2000-03,-3.49,
2000-04,-3.64,
2000-05,-3.39,
2000-06,-3.92,
2000-07,-3.67,
2000-08,-3.31,
2000-09,-3.28,
2000-10,-3.47,
2000-11,-3.55,
2000-12,-2.79,
2001-01,-3.81,
2001-02,-3.70,
2001-03,-3.49,
2001-04,-3.47,
2001-05,-3.84,
2001-06,-4.03,
2001-07,-3.92,
