"",BBK01.OEBI08U,BBK01.OEBI08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:04,
2002-01,1.078,
2002-04,0.913,
2002-07,0.893,
2002-10,0.973,
2003-01,0.999,
2003-04,0.979,
2003-07,1.007,
2003-10,1.020,
2004-01,1.000,
2004-04,0.985,
2004-07,1.021,
2004-10,1.039,
2005-01,1.745,
2005-04,1.727,
2005-07,1.723,
2005-10,1.715,
2006-01,1.716,
2006-04,1.668,
2006-07,1.610,
2006-10,1.633,
2007-01,1.636,
2007-04,1.609,
2007-07,1.571,
2007-10,1.601,
2008-01,1.596,
2008-04,1.611,
2008-07,1.567,
2008-10,1.573,
2009-01,1.594,
2009-04,1.599,
2009-07,1.668,
2009-10,1.751,
2010-01,1.779,
2010-04,1.780,
2010-07,1.800,
2010-10,1.796,
2011-01,1.763,
2011-04,1.723,
2011-07,1.680,
2011-10,1.678,
2012-01,1.780,
2012-04,1.754,
2012-07,1.797,
2012-10,1.861,
2013-01,1.855,
2013-04,1.845,
2013-07,1.848,
2013-10,1.876,
2014-01,1.873,
2014-04,1.844,
2014-07,1.864,
