"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00011.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.Z5.00011.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:50,
2009-09,6296,
2009-10,6167,
2009-11,6106,
2009-12,6105,
2010-01,6391,
2010-02,6377,
2010-03,6573,
2010-04,6473,
2010-05,6502,
2010-06,6465,
2010-07,6686,
2010-08,7020,
2010-09,7281,
2010-10,7402,
2010-11,7710,
2010-12,7684,
2011-01,7580,
2011-02,7777,
2011-03,7313,
2011-04,7352,
2011-05,7597,
2011-06,7295,
2011-07,7436,
2011-08,7331,
2011-09,6859,
2011-10,6990,
2011-11,6857,
2011-12,7082,
2012-01,7067,
2012-02,7118,
2012-03,7397,
2012-04,7390,
2012-05,7492,
2012-06,7552,
2012-07,8091,
2012-08,8129,
2012-09,8440,
2012-10,8504,
2012-11,8541,
2012-12,8669,
2013-01,8720,
2013-02,9020,
2013-03,9277,
2013-04,9567,
2013-05,9505,
2013-06,9317,
2013-07,9657,
2013-08,9639,
2013-09,9841,
2013-10,9886,
2013-11,10021,
2013-12,9989,
2014-01,10206,
2014-02,10516,
2014-03,10640,
2014-04,10732,
2014-05,10835,
2014-06,11072,
2014-07,10986,
2014-08,11179,
2014-09,11365,
2014-10,11620,
2014-11,12288,
