"",BBK01.OEAC08N,BBK01.OEAC08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:21,
2002-01,5.226,
2002-04,4.909,
2002-07,5.535,
2002-10,5.514,
2003-01,5.304,
2003-04,5.041,
2003-07,5.700,
2003-10,5.204,
2004-01,6.002,
2004-04,5.614,
2004-07,5.766,
2004-10,5.465,
2005-01,8.208,
2005-04,5.640,
2005-07,6.379,
2005-10,6.509,
2006-01,7.623,
2006-04,7.296,
2006-07,7.367,
2006-10,7.997,
2007-01,8.929,
2007-04,10.896,
2007-07,11.081,
2007-10,12.616,
2008-01,14.959,
2008-04,15.859,
2008-07,18.478,
2008-10,21.112,
2009-01,18.470,
2009-04,22.147,
2009-07,27.513,
2009-10,22.888,
2010-01,21.287,
2010-04,29.676,
2010-07,27.803,
2010-10,26.704,
2011-01,27.314,
2011-04,30.664,
2011-07,46.572,
2011-10,44.425,
2012-01,36.826,
2012-04,35.693,
2012-07,37.640,
2012-10,31.867,
2013-01,35.579,
2013-04,33.927,
2013-07,14.709,
2013-10,14.828,
2014-01,15.397,
2014-04,14.940,
2014-07,16.158,
