"",BBK01.OEHO01R,BBK01.OEHO01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:19,
2002-01,4.515,
2002-04,4.450,
2002-07,4.391,
2002-10,4.397,
2003-01,4.495,
2003-04,4.529,
2003-07,4.509,
2003-10,4.515,
2004-01,4.632,
2004-04,4.629,
2004-07,4.607,
2004-10,4.584,
2005-01,4.662,
2005-04,4.665,
2005-07,4.637,
2005-10,4.633,
2006-01,4.693,
2006-04,4.641,
2006-07,4.604,
2006-10,4.583,
2007-01,4.585,
2007-04,4.542,
2007-07,4.477,
2007-10,4.419,
2008-01,4.454,
2008-04,4.395,
2008-07,4.355,
2008-10,4.301,
2009-01,4.387,
2009-04,4.412,
2009-07,4.427,
2009-10,4.459,
2010-01,4.649,
2010-04,4.683,
2010-07,4.688,
2010-10,4.684,
2011-01,4.792,
2011-04,4.784,
2011-07,4.786,
2011-10,4.770,
2012-01,4.817,
2012-04,4.829,
2012-07,4.846,
2012-10,4.863,
2013-01,4.883,
2013-04,4.906,
2013-07,4.863,
2013-10,4.857,
2014-01,4.883,
2014-04,4.887,
2014-07,4.849,
