"",BBK01.OECB05G,BBK01.OECB05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:43,
2002-01,20.562,
2002-04,20.191,
2002-07,20.141,
2002-10,19.444,
2003-01,18.183,
2003-04,18.226,
2003-07,18.177,
2003-10,17.589,
2004-01,17.525,
2004-04,17.497,
2004-07,17.061,
2004-10,16.626,
2005-01,19.482,
2005-04,20.342,
2005-07,19.576,
2005-10,19.100,
2006-01,19.951,
2006-04,20.318,
2006-07,20.086,
2006-10,19.602,
2007-01,20.095,
2007-04,20.611,
2007-07,20.854,
2007-10,20.656,
2008-01,21.113,
2008-04,21.583,
2008-07,21.823,
2008-10,21.676,
2009-01,23.143,
2009-04,27.370,
2009-07,26.502,
2009-10,25.058,
2010-01,25.687,
2010-04,25.585,
2010-07,24.654,
2010-10,23.697,
2011-01,23.914,
2011-04,23.764,
2011-07,23.474,
2011-10,22.878,
2012-01,23.001,
2012-04,23.353,
2012-07,22.738,
2012-10,22.275,
2013-01,23.044,
2013-04,23.344,
2013-07,23.348,
2013-10,23.246,
2014-01,23.862,
2014-04,24.034,
2014-07,23.945,
