"",BBK01.OEAC19H,BBK01.OEAC19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:38,
2002-01,3.553,
2002-04,3.562,
2002-07,3.243,
2002-10,2.853,
2003-01,2.940,
2003-04,2.945,
2003-07,2.819,
2003-10,2.559,
2004-01,2.450,
2004-04,2.345,
2004-07,2.214,
2004-10,2.003,
2005-01,2.287,
2005-04,2.102,
2005-07,2.075,
2005-10,1.703,
2006-01,1.894,
2006-04,1.978,
2006-07,1.998,
2006-10,1.767,
2007-01,1.883,
2007-04,1.960,
2007-07,1.872,
2007-10,1.687,
2008-01,1.837,
2008-04,1.818,
2008-07,1.716,
2008-10,1.614,
2009-01,2.271,
2009-04,2.703,
2009-07,2.640,
2009-10,2.388,
2010-01,2.595,
2010-04,2.644,
2010-07,2.639,
2010-10,2.356,
2011-01,2.511,
2011-04,2.672,
2011-07,2.698,
2011-10,2.497,
2012-01,2.581,
2012-04,2.699,
2012-07,2.727,
2012-10,2.588,
2013-01,2.876,
2013-04,2.905,
2013-07,2.957,
2013-10,2.762,
2014-01,3.026,
2014-04,3.043,
2014-07,2.992,
