"",BBSF2.M.1.P.00000.AKT01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:09,
1950-01,-,Nothing exists
1950-02,-,Nothing exists
1950-03,-,Nothing exists
1950-04,-,Nothing exists
1950-05,-,Nothing exists
1950-06,-,Nothing exists
1950-07,-,Nothing exists
1950-08,1,
1950-09,1,
1950-10,2,
1950-11,2,
1950-12,2,
1951-01,2,
1951-02,2,
1951-03,2,
1951-04,2,
1951-05,2,
1951-06,2,
1951-07,2,
1951-08,2,
1951-09,2,
1951-10,2,
1951-11,2,
1951-12,2,
1952-01,2,
1952-02,2,
1952-03,2,
1952-04,2,
1952-05,2,
1952-06,2,
1952-07,2,
1952-08,2,
1952-09,2,
1952-10,2,
1952-11,2,
1952-12,2,
1953-01,2,
1953-02,2,
1953-03,2,
1953-04,2,
1953-05,2,
1953-06,2,
1953-07,2,
1953-08,2,
1953-09,2,
1953-10,2,
1953-11,2,
1953-12,2,
1954-01,2,
1954-02,2,
1954-03,2,
1954-04,2,
1954-05,2,
1954-06,2,
1954-07,2,
1954-08,2,
1954-09,2,
1954-10,2,
1954-11,2,
1954-12,2,
1955-01,3,
1955-02,3,
1955-03,3,
1955-04,3,
1955-05,3,
1955-06,3,
1955-07,3,
1955-08,3,
1955-09,3,
1955-10,3,
1955-11,3,
1955-12,3,
1956-01,3,
1956-02,3,
1956-03,4,
1956-04,5,
1956-05,5,
1956-06,6,
1956-07,6,
1956-08,6,
1956-09,6,
1956-10,6,
1956-11,7,
1956-12,8,
1957-01,8,
1957-02,8,
1957-03,8,
1957-04,8,
1957-05,8,
1957-06,8,
1957-07,8,
1957-08,8,
1957-09,8,
1957-10,8,
1957-11,8,
1957-12,8,
1958-01,8,
1958-02,8,
1958-03,8,
1958-04,8,
1958-05,8,
1958-06,8,
1958-07,8,
1958-08,8,
1958-09,8,
1958-10,9,
1958-11,10,
1958-12,10,
1959-01,12,
1959-02,12,
1959-03,12,
1959-04,12,
1959-05,13,
1959-06,13,
1959-07,13,
1959-08,14,
1959-09,14,
1959-10,14,
1959-11,14,
1959-12,14,
1960-01,17,
1960-02,19,
1960-03,19,
1960-04,19,
1960-05,19,
1960-06,19,
1960-07,19,
1960-08,19,
1960-09,19,
1960-10,19,
1960-11,19,
1960-12,19,
1961-01,19,
1961-02,19,
1961-03,19,
1961-04,19,
1961-05,19,
1961-06,19,
1961-07,20,
1961-08,20,
1961-09,20,
1961-10,20,
1961-11,21,
1961-12,21,
1962-01,22,
1962-02,23,
1962-03,23,
1962-04,23,
1962-05,23,
1962-06,23,
1962-07,23,
1962-08,23,
1962-09,23,
1962-10,23,
1962-11,23,
1962-12,23,
1963-01,23,
1963-02,23,
1963-03,23,
1963-04,23,
1963-05,23,
1963-06,24,
1963-07,24,
1963-08,24,
1963-09,24,
1963-10,24,
1963-11,24,
1963-12,24,
1964-01,24,
1964-02,24,
1964-03,24,
1964-04,24,
1964-05,24,
1964-06,24,
1964-07,24,
1964-08,24,
1964-09,24,
1964-10,24,
1964-11,24,
1964-12,24,
1965-01,24,
1965-02,24,
1965-03,24,
1965-04,24,
1965-05,23,
1965-06,23,
1965-07,23,
1965-08,23,
1965-09,23,
1965-10,23,
1965-11,23,
1965-12,23,
1966-01,23,
1966-02,23,
1966-03,23,
1966-04,23,
1966-05,23,
1966-06,23,
1966-07,23,
1966-08,23,
1966-09,23,
1966-10,23,
1966-11,23,
1966-12,23,
