"",BBK01.OEAH17M,BBK01.OEAH17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:43,
2002-01,53.463,
2002-04,53.589,
2002-07,53.938,
2002-10,55.842,
2003-01,55.975,
2003-04,55.868,
2003-07,56.216,
2003-10,53.351,
2004-01,53.746,
2004-04,55.907,
2004-07,57.282,
2004-10,59.696,
2005-01,60.334,
2005-04,61.743,
2005-07,62.539,
2005-10,63.915,
2006-01,65.103,
2006-04,65.613,
2006-07,67.277,
2006-10,67.599,
2007-01,69.437,
2007-04,69.716,
2007-07,72.258,
2007-10,76.685,
2008-01,79.220,
2008-04,80.796,
2008-07,83.478,
2008-10,90.899,
2009-01,87.122,
2009-04,86.546,
2009-07,84.133,
2009-10,78.972,
2010-01,77.821,
2010-04,75.903,
2010-07,77.117,
2010-10,77.147,
2011-01,78.942,
2011-04,78.758,
2011-07,80.240,
2011-10,82.830,
2012-01,82.924,
2012-04,86.351,
2012-07,81.519,
2012-10,82.075,
2013-01,77.415,
2013-04,79.967,
2013-07,75.075,
2013-10,74.543,
2014-01,75.418,
2014-04,77.104,
2014-07,77.179,
