"",BBK01.OELB17V,BBK01.OELB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:57,
2002-01,1.567,
2002-04,1.560,
2002-07,1.566,
2002-10,1.550,
2003-01,1.546,
2003-04,1.542,
2003-07,1.541,
2003-10,1.535,
2004-01,1.535,
2004-04,1.557,
2004-07,1.574,
2004-10,1.693,
2005-01,1.686,
2005-04,1.681,
2005-07,1.697,
2005-10,1.696,
2006-01,1.657,
2006-04,1.661,
2006-07,1.690,
2006-10,1.594,
2007-01,1.599,
2007-04,1.603,
2007-07,1.617,
2007-10,1.621,
2008-01,1.603,
2008-04,1.610,
2008-07,1.648,
2008-10,1.658,
2009-01,1.654,
2009-04,1.689,
2009-07,1.697,
2009-10,1.715,
2010-01,1.723,
2010-04,1.746,
2010-07,1.776,
2010-10,1.721,
2011-01,1.717,
2011-04,1.818,
2011-07,1.845,
2011-10,1.876,
2012-01,1.900,
2012-04,2.204,
2012-07,2.254,
2012-10,2.283,
2013-01,2.318,
2013-04,2.356,
2013-07,2.406,
2013-10,2.450,
2014-01,2.470,
2014-04,2.525,
2014-07,2.588,
