"",BBFB1.Q.N.DE.U3.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:03,
1991-01,1075.474,
1991-04,1057.063,
1991-07,1250.669,
1991-10,1038.319,
1992-01,1043.172,
1992-04,1118.995,
1992-07,1115.715,
1992-10,1064.512,
1993-01,1474.903,
1993-04,1073.125,
1993-07,980.232,
1993-10,1150.912,
1994-01,701.943,
1994-04,697.251,
1994-07,604.107,
1994-10,842.503,
1995-01,971.559,
1995-04,703.671,
1995-07,878.262,
1995-10,665.360,
1996-01,756.728,
1996-04,771.273,
1996-07,835.747,
1996-10,779.501,
1997-01,1021.588,
1997-04,1092.715,
1997-07,1132.291,
1997-10,654.775,
1998-01,1082.278,
1998-04,1559.013,
1998-07,1634.020,
1998-10,1125.031,
1999-01,1138.373,
1999-04,1980.725,
1999-07,1639.274,
1999-10,1424.140,
2000-01,2505.616,
2000-04,2663.965,
2000-07,2610.331,
2000-10,2645.240,
2001-01,1091.126,
2001-04,1633.143,
2001-07,1789.278,
2001-10,1019.016,
2002-01,1780.646,
2002-04,2204.821,
2002-07,2174.930,
2002-10,2430.767,
2003-01,2438.470,
2003-04,3398.009,
2003-07,3115.176,
2003-10,2774.176,
2004-01,2082.250,
2004-04,2901.216,
2004-07,2514.757,
2004-10,2301.728,
2005-01,990.745,
2005-04,2121.267,
2005-07,1492.334,
2005-10,1185.767,
2006-01,1952.274,
2006-04,2795.399,
2006-07,1884.081,
2006-10,1752.868,
2007-01,1085.660,
2007-04,3240.762,
2007-07,1432.025,
2007-10,1079.485,
2008-01,1909.520,
2008-04,3359.588,
2008-07,1437.000,
2008-10,1202.905,
2009-01,1980.983,
2009-04,3276.067,
2009-07,1988.061,
2009-10,1723.556,
2010-01,2033.888,
2010-04,3262.692,
2010-07,2553.241,
2010-10,2251.062,
2011-01,2859.119,
2011-04,4658.720,
2011-07,3694.186,
2011-10,3407.235,
2012-01,4007.261,
2012-04,5371.980,
2012-07,4510.273,
2012-10,4216.407,
2013-01,5018.131,
2013-04,5627.855,
2013-07,5494.069,
2013-10,5309.408,
2014-01,4213.723,Provisional value
2014-04,5778.414,Provisional value
2014-07,4603.913,Provisional value
