"",BBFB1.Q.N.DE.W00200.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W00200.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Industrial Countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:14,
1991-01,2996.812,
1991-04,3252.367,
1991-07,3173.890,
1991-10,3191.307,
1992-01,3126.625,
1992-04,3633.892,
1992-07,3738.224,
1992-10,3823.618,
1993-01,4175.202,
1993-04,3984.761,
1993-07,3927.078,
1993-10,4293.521,
1994-01,4384.383,
1994-04,4264.122,
1994-07,4107.489,
1994-10,4525.769,
1995-01,4588.915,
1995-04,4419.142,
1995-07,4351.942,
1995-10,4427.837,
1996-01,4516.405,
1996-04,4746.953,
1996-07,5105.049,
1996-10,5099.618,
1997-01,5205.839,
1997-04,5478.769,
1997-07,5345.420,
1997-10,5149.768,
1998-01,4606.428,
1998-04,5660.070,
1998-07,5236.734,
1998-10,5258.972,
1999-01,6112.333,
1999-04,7805.424,
1999-07,7297.306,
1999-10,7349.463,
2000-01,6453.823,
2000-04,7472.427,
2000-07,7227.534,
2000-10,7896.226,
2001-01,7507.830,
2001-04,9187.351,
2001-07,9154.099,
2001-10,7976.579,
2002-01,8777.000,
2002-04,9796.325,
2002-07,9643.179,
2002-10,10320.895,
2003-01,10640.980,
2003-04,12597.970,
2003-07,11175.172,
2003-10,10323.326,
2004-01,9002.389,
2004-04,9822.419,
2004-07,8255.408,
2004-10,8167.192,
2005-01,7408.568,
2005-04,9449.539,
2005-07,8015.520,
2005-10,8070.362,
2006-01,8496.518,
2006-04,10415.836,
2006-07,7783.523,
2006-10,7664.266,
2007-01,7538.031,
2007-04,12250.778,
2007-07,7948.109,
2007-10,7691.936,
2008-01,8384.089,
2008-04,11913.778,
2008-07,7389.547,
2008-10,7111.167,
2009-01,7358.650,
2009-04,10012.002,
2009-07,6597.835,
2009-10,6557.456,
2010-01,7382.080,
2010-04,10913.677,
2010-07,8497.510,
2010-10,8958.863,
2011-01,9688.305,
2011-04,14692.655,
2011-07,10567.659,
2011-10,10497.301,
2012-01,10328.448,
2012-04,14096.727,
2012-07,10667.901,
2012-10,10104.139,
2013-01,11157.231,
2013-04,13762.807,
2013-07,11612.870,
2013-10,11395.383,
2014-01,11382.482,Provisional value
2014-04,15335.308,Provisional value
2014-07,11518.396,Provisional value
