"",BBK01.OECB14K,BBK01.OECB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:22,
2002-01,0.430,
2002-04,0.362,
2002-07,0.376,
2002-10,0.332,
2003-01,0.339,
2003-04,0.264,
2003-07,0.242,
2003-10,0.338,
2004-01,0.284,
2004-04,0.245,
2004-07,0.258,
2004-10,0.906,
2005-01,0.473,
2005-04,0.503,
2005-07,0.447,
2005-10,0.423,
2006-01,0.413,
2006-04,0.332,
2006-07,0.298,
2006-10,0.286,
2007-01,0.263,
2007-04,0.269,
2007-07,0.254,
2007-10,0.318,
2008-01,0.277,
2008-04,0.262,
2008-07,0.260,
2008-10,0.263,
2009-01,0.227,
2009-04,0.222,
2009-07,0.178,
2009-10,0.166,
2010-01,0.153,
2010-04,0.160,
2010-07,0.150,
2010-10,0.136,
2011-01,0.139,
2011-04,0.193,
2011-07,0.129,
2011-10,0.135,
2012-01,0.127,
2012-04,0.120,
2012-07,0.126,
2012-10,0.123,
2013-01,0.131,
2013-04,0.132,
2013-07,0.131,
2013-10,0.126,
2014-01,0.120,
2014-04,0.119,
2014-07,0.121,
