"",BBK01.OEAF35J,BBK01.OEAF35J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:56,
2002-01,0.913,
2002-04,0.936,
2002-07,0.971,
2002-10,0.981,
2003-01,1.010,
2003-04,1.020,
2003-07,1.006,
2003-10,1.009,
2004-01,1.034,
2004-04,1.035,
2004-07,1.065,
2004-10,1.074,
2005-01,1.170,
2005-04,1.178,
2005-07,1.204,
2005-10,1.158,
2006-01,1.140,
2006-04,1.104,
2006-07,1.137,
2006-10,1.120,
2007-01,1.115,
2007-04,1.101,
2007-07,1.117,
2007-10,1.086,
2008-01,1.080,
2008-04,1.069,
2008-07,1.034,
2008-10,1.040,
2009-01,1.059,
2009-04,1.081,
2009-07,0.956,
2009-10,1.145,
2010-01,3.821,
2010-04,0.967,
2010-07,0.979,
2010-10,0.984,
2011-01,1.006,
2011-04,1.165,
2011-07,1.025,
2011-10,1.506,
2012-01,1.052,
2012-04,1.066,
2012-07,1.058,
2012-10,0.942,
2013-01,0.933,
2013-04,0.849,
2013-07,0.845,
2013-10,0.847,
2014-01,0.853,
2014-04,0.842,
2014-07,0.834,
