"",BBK01.OEHB19T,BBK01.OEHB19T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:26,
2002-01,0.126,
2002-04,0.124,
2002-07,0.124,
2002-10,0.123,
2003-01,0.119,
2003-04,0.130,
2003-07,0.131,
2003-10,0.139,
2004-01,0.133,
2004-04,0.139,
2004-07,0.141,
2004-10,0.149,
2005-01,0.148,
2005-04,0.138,
2005-07,0.141,
2005-10,0.143,
2006-01,0.143,
2006-04,0.148,
2006-07,0.151,
2006-10,0.144,
2007-01,0.148,
2007-04,0.153,
2007-07,0.154,
2007-10,0.149,
2008-01,0.145,
2008-04,0.142,
2008-07,0.139,
2008-10,0.131,
2009-01,0.126,
2009-04,0.126,
2009-07,0.126,
2009-10,0.124,
2010-01,0.120,
2010-04,0.119,
2010-07,0.120,
2010-10,0.117,
2011-01,0.137,
2011-04,0.143,
2011-07,0.145,
2011-10,0.145,
2012-01,0.148,
2012-04,0.156,
2012-07,0.198,
2012-10,0.201,
2013-01,0.205,
2013-04,0.215,
2013-07,0.221,
2013-10,0.224,
2014-01,0.226,
2014-04,0.233,
2014-07,0.240,
