"",BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.TR.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:53,
1991-01,-539.589,
1991-04,205.414,
1991-07,220.069,
1991-10,-73.143,
1992-01,-483.499,
1992-04,-175.040,
1992-07,157.973,
1992-10,135.546,
1993-01,354.532,
1993-04,74.990,
1993-07,646.637,
1993-10,-224.119,
1994-01,-1556.441,
1994-04,81.401,
1994-07,32.012,
1994-10,-132.826,
1995-01,538.290,
1995-04,102.095,
1995-07,59.934,
1995-10,-328.298,
1996-01,229.803,
1996-04,89.274,
1996-07,797.884,
1996-10,657.352,
1997-01,797.421,
1997-04,354.584,
1997-07,-78.128,
1997-10,-229.502,
1998-01,245.264,
1998-04,1273.909,
1998-07,1686.944,
1998-10,1105.398,
1999-01,959.906,
1999-04,41.777,
1999-07,-215.334,
1999-10,397.704,
2000-01,-764.966,
2000-04,-867.642,
2000-07,-1006.160,
2000-10,-214.464,
2001-01,592.997,
2001-04,321.446,
2001-07,-165.924,
2001-10,-1679.905,
2002-01,-311.293,
2002-04,854.700,
2002-07,455.369,
2002-10,-2930.259,
2003-01,-1416.359,
2003-04,-3.948,
2003-07,561.869,
2003-10,2033.112,
2004-01,-276.422,
2004-04,-953.776,
2004-07,317.722,
2004-10,-1590.435,
2005-01,197.572,
2005-04,58.928,
2005-07,602.699,
2005-10,1576.316,
2006-01,504.833,
2006-04,-83.238,
2006-07,-115.240,
2006-10,1588.873,
2007-01,22.107,
2007-04,557.764,
2007-07,945.251,
2007-10,1232.234,
2008-01,-357.805,
2008-04,789.014,
2008-07,-101.278,
2008-10,-460.002,
2009-01,-356.508,
2009-04,80.251,
2009-07,684.620,
2009-10,46.038,
2010-01,264.332,
2010-04,818.305,
2010-07,238.085,
2010-10,214.768,
2011-01,1204.441,
2011-04,1855.973,
2011-07,544.697,
2011-10,1198.531,
2012-01,3196.730,
2012-04,2653.710,
2012-07,-118.701,
2012-10,34.882,
2013-01,483.516,
2013-04,140.108,
2013-07,-203.196,
2013-10,-159.264,
2014-01,-439.185,Provisional value
2014-04,2378.063,Provisional value
2014-07,-2208.048,Provisional value
2014-10,59.825,Provisional value
