"",BBK01.OEXK04I,BBK01.OEXK04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:17,
2002-01,0.500,
2002-04,0.464,
2002-07,0.441,
2002-10,0.411,
2003-01,0.420,
2003-04,0.385,
2003-07,0.290,
2003-10,0.293,
2004-01,0.261,
2004-04,0.233,
2004-07,0.211,
2004-10,0.215,
2005-01,0.217,
2005-04,0.229,
2005-07,0.210,
2005-10,0.371,
2006-01,0.335,
2006-04,0.333,
2006-07,0.415,
2006-10,0.652,
2007-01,0.665,
2007-04,0.827,
2007-07,0.737,
2007-10,0.733,
2008-01,0.781,
2008-04,0.719,
2008-07,0.752,
2008-10,0.731,
2009-01,0.342,
2009-04,0.194,
2009-07,0.128,
2009-10,0.101,
2010-01,0.111,
2010-04,0.089,
2010-07,0.054,
2010-10,0.073,
2011-01,0.107,
2011-04,0.139,
2011-07,0.183,
2011-10,0.229,
2012-01,0.224,
2012-04,0.185,
2012-07,0.191,
2012-10,0.140,
2013-01,0.094,
2013-04,0.072,
2013-07,0.049,
2013-10,0.048,
2014-01,0.027,
2014-04,0.024,
2014-07,0.024,
