"",BBK01.OEYI05J,BBK01.OEYI05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:02,
2002-01,7.414,
2002-04,7.513,
2002-07,7.623,
2002-10,7.780,
2003-01,7.586,
2003-04,7.757,
2003-07,7.975,
2003-10,8.154,
2004-01,8.548,
2004-04,8.828,
2004-07,9.280,
2004-10,9.615,
2005-01,10.133,
2005-04,10.390,
2005-07,10.639,
2005-10,11.313,
2006-01,11.086,
2006-04,11.385,
2006-07,11.764,
2006-10,10.407,
2007-01,10.803,
2007-04,10.807,
2007-07,11.006,
2007-10,11.191,
2008-01,11.325,
2008-04,11.490,
2008-07,11.403,
2008-10,11.417,
2009-01,11.676,
2009-04,11.810,
2009-07,11.835,
2009-10,11.915,
2010-01,11.904,
2010-04,11.705,
2010-07,11.510,
2010-10,11.502,
2011-01,11.518,
2011-04,11.524,
2011-07,11.365,
2011-10,11.214,
2012-01,11.207,
2012-04,6.415,
2012-07,6.258,
2012-10,6.116,
2013-01,6.050,
2013-04,6.012,
2013-07,5.906,
2013-10,5.825,
2014-01,5.612,
2014-04,5.365,
2014-07,4.855,
