"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:15,
1991-01,163.827,
1991-04,344.243,
1991-07,99.954,
1991-10,387.625,
1992-01,-43.175,
1992-04,46.064,
1992-07,87.022,
1992-10,279.133,
1993-01,-497.169,
1993-04,-286.293,
1993-07,14.677,
1993-10,-74.996,
1994-01,-101.267,
1994-04,-302.292,
1994-07,8.493,
1994-10,128.081,
1995-01,-404.002,
1995-04,-50.974,
1995-07,216.813,
1995-10,231.178,
1996-01,-26.553,
1996-04,136.500,
1996-07,-137.925,
1996-10,181.756,
1997-01,-213.566,
1997-04,-43.241,
1997-07,703.868,
1997-10,411.434,
1998-01,226.272,
1998-04,473.774,
1998-07,184.841,
1998-10,16.832,
1999-01,124.405,
1999-04,-15.870,
1999-07,-193.074,
1999-10,51.709,
2000-01,-164.500,
2000-04,410.452,
2000-07,-148.928,
2000-10,-164.761,
2001-01,-245.176,
2001-04,-229.940,
2001-07,150.474,
2001-10,-115.795,
2002-01,-93.926,
2002-04,-459.163,
2002-07,-173.474,
2002-10,-82.583,
2003-01,25.602,
2003-04,-182.488,
2003-07,-274.780,
2003-10,-211.738,
2004-01,-308.655,
2004-04,-343.474,
2004-07,-305.248,
2004-10,-210.643,
2005-01,-230.760,
2005-04,-231.084,
2005-07,-478.195,
2005-10,-76.967,
2006-01,-269.773,
2006-04,60.403,
2006-07,-207.273,
2006-10,14.127,
2007-01,158.209,
2007-04,367.638,
2007-07,385.192,
2007-10,119.095,
2008-01,248.786,
2008-04,153.229,
2008-07,114.749,
2008-10,-27.201,
2009-01,-369.380,
2009-04,-695.740,
2009-07,24.965,
2009-10,350.042,
2010-01,-156.412,
2010-04,105.222,
2010-07,-4.049,
2010-10,21.894,
2011-01,1.854,
2011-04,-154.112,
2011-07,134.262,
2011-10,-105.863,
2012-01,-26.662,
2012-04,-88.182,
2012-07,-228.402,
2012-10,499.812,
2013-01,-107.694,
2013-04,-94.176,
2013-07,-419.176,
2013-10,143.802,
2014-01,18.681,Provisional value
2014-04,-236.368,Provisional value
2014-07,-76.682,Provisional value
2014-10,-94.829,Provisional value
