"",BBK01.OEHM04M,BBK01.OEHM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:45,
2002-01,0.378,
2002-04,0.374,
2002-07,0.336,
2002-10,0.387,
2003-01,0.351,
2003-04,0.294,
2003-07,0.236,
2003-10,0.233,
2004-01,0.227,
2004-04,0.222,
2004-07,0.227,
2004-10,0.249,
2005-01,0.252,
2005-04,0.215,
2005-07,0.211,
2005-10,0.237,
2006-01,0.222,
2006-04,0.234,
2006-07,0.269,
2006-10,0.274,
2007-01,0.320,
2007-04,0.365,
2007-07,0.442,
2007-10,0.470,
2008-01,0.440,
2008-04,0.444,
2008-07,0.454,
2008-10,0.432,
2009-01,0.398,
2009-04,0.300,
2009-07,0.251,
2009-10,0.196,
2010-01,0.164,
2010-04,0.149,
2010-07,0.173,
2010-10,0.228,
2011-01,0.316,
2011-04,0.341,
2011-07,0.344,
2011-10,0.270,
2012-01,0.293,
2012-04,0.331,
2012-07,0.284,
2012-10,0.235,
2013-01,0.233,
2013-04,0.220,
2013-07,0.165,
2013-10,0.189,
2014-01,0.129,
2014-04,0.107,
2014-07,0.112,
