"",BBK01.OEAH73T,BBK01.OEAH73T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:03,
2002-01,0.586,
2002-04,0.562,
2002-07,0.550,
2002-10,0.400,
2003-01,0.417,
2003-04,0.390,
2003-07,0.368,
2003-10,0.337,
2004-01,0.332,
2004-04,0.274,
2004-07,0.289,
2004-10,0.305,
2005-01,0.204,
2005-04,0.245,
2005-07,0.261,
2005-10,0.287,
2006-01,0.289,
2006-04,0.374,
2006-07,0.440,
2006-10,0.488,
2007-01,0.488,
2007-04,0.545,
2007-07,0.541,
2007-10,0.571,
2008-01,0.575,
2008-04,0.780,
2008-07,0.625,
2008-10,0.438,
2009-01,0.229,
2009-04,0.205,
2009-07,0.173,
2009-10,0.119,
2010-01,0.191,
2010-04,0.112,
2010-07,0.106,
2010-10,0.092,
2011-01,0.096,
2011-04,0.140,
2011-07,0.210,
2011-10,0.281,
2012-01,0.629,
2012-04,0.413,
2012-07,0.678,
2012-10,0.612,
2013-01,0.430,
2013-04,0.470,
2013-07,0.485,
2013-10,0.437,
2014-01,0.613,
2014-04,0.543,
2014-07,0.525,
