"",BBK01.OEAF23N,BBK01.OEAF23N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:46,
2002-01,2.805,
2002-04,2.783,
2002-07,2.767,
2002-10,2.781,
2003-01,2.847,
2003-04,3.245,
2003-07,3.355,
2003-10,3.327,
2004-01,3.426,
2004-04,3.464,
2004-07,3.531,
2004-10,3.498,
2005-01,3.433,
2005-04,3.216,
2005-07,2.986,
2005-10,2.981,
2006-01,2.903,
2006-04,2.905,
2006-07,2.883,
2006-10,2.817,
2007-01,2.791,
2007-04,2.792,
2007-07,2.832,
2007-10,2.776,
2008-01,2.733,
2008-04,2.728,
2008-07,2.682,
2008-10,2.680,
2009-01,2.667,
2009-04,2.743,
2009-07,2.796,
2009-10,2.730,
2010-01,2.782,
2010-04,2.822,
2010-07,2.849,
2010-10,2.859,
2011-01,2.839,
2011-04,2.896,
2011-07,2.979,
2011-10,3.025,
2012-01,3.026,
2012-04,2.874,
2012-07,2.889,
2012-10,2.960,
2013-01,2.974,
2013-04,2.962,
2013-07,2.914,
2013-10,2.845,
2014-01,2.720,
2014-04,2.709,
2014-07,2.705,
