"",BBK01.CEB201,BBK01.CEB201_FLAGS
"",Currency and deposits debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:33,
1991-01,183.5,
1991-04,194.9,
1991-07,190.0,
1991-10,192.0,
1992-01,186.8,
1992-04,194.1,
1992-07,195.5,
1992-10,195.0,
1993-01,196.0,
1993-04,188.1,
1993-07,192.9,
1993-10,218.0,
1994-01,207.3,
1994-04,208.2,
1994-07,212.7,
1994-10,233.0,
1995-01,223.3,
1995-04,227.8,
1995-07,228.8,
1995-10,245.3,
1996-01,227.5,
1996-04,227.8,
1996-07,233.0,
1996-10,280.5,
1997-01,259.0,
1997-04,255.9,
1997-07,254.2,
1997-10,268.9,
1998-01,254.1,
1998-04,255.2,
1998-07,254.6,
1998-10,278.3,
1999-01,279.6,
1999-04,278.5,
1999-07,285.5,
1999-10,287.6,
2000-01,286.8,
2000-04,289.1,
2000-07,286.1,
2000-10,293.9,
2001-01,291.2,
2001-04,286.9,
2001-07,288.4,
2001-10,309.7,
2002-01,260.4,
2002-04,270.3,
2002-07,277.8,
2002-10,292.6,
2003-01,274.7,
2003-04,288.0,
2003-07,289.5,
2003-10,295.3,
2004-01,286.8,
2004-04,296.2,
2004-07,300.5,
2004-10,315.7,
2005-01,311.2,
2005-04,323.1,
2005-07,337.0,
2005-10,350.4,
2006-01,344.2,
2006-04,351.7,
2006-07,353.3,
2006-10,369.4,
2007-01,368.6,
2007-04,367.5,
2007-07,381.5,
2007-10,402.6,
2008-01,379.7,
2008-04,386.7,
2008-07,408.6,
2008-10,420.7,
2009-01,416.8,
2009-04,426.4,
2009-07,446.8,
2009-10,457.1,
2010-01,453.9,
2010-04,438.5,
2010-07,449.9,
2010-10,450.1,
2011-01,440.4,
2011-04,425.5,
2011-07,429.9,
2011-10,460.5,
2012-01,452.6,
2012-04,453.1,
2012-07,468.3,
2012-10,506.5,
2013-01,459.9,
2013-04,449.6,
2013-07,488.3,
2013-10,505.4,
2014-01,471.3,
