"",BBK01.OEXM02K,BBK01.OEXM02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:36,
2002-01,0.005,
2002-04,0.012,
2002-07,0.017,
2002-10,0.037,
2003-01,0.035,
2003-04,0.186,
2003-07,0.018,
2003-10,0.022,
2004-01,0.051,
2004-04,0.043,
2004-07,0.045,
2004-10,0.047,
2005-01,0.043,
2005-04,0.033,
2005-07,0.090,
2005-10,0.048,
2006-01,0.071,
2006-04,0.076,
2006-07,0.101,
2006-10,0.130,
2007-01,0.147,
2007-04,0.222,
2007-07,0.088,
2007-10,0.129,
2008-01,0.103,
2008-04,0.121,
2008-07,0.131,
2008-10,0.149,
2009-01,0.040,
2009-04,0.016,
2009-07,0.027,
2009-10,0.013,
2010-01,0.012,
2010-04,0.039,
2010-07,0.020,
2010-10,0.043,
2011-01,0.023,
2011-04,0.019,
2011-07,0.019,
2011-10,0.017,
2012-01,0.381,
2012-04,0.523,
2012-07,0.558,
2012-10,0.185,
2013-01,0.383,
2013-04,0.625,
2013-07,0.641,
2013-10,0.248,
2014-01,0.771,
2014-04,0.517,
2014-07,0.383,
