"",BBK01.OEXM02L,BBK01.OEXM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:36,
2002-01,0.422,
2002-04,0.414,
2002-07,0.893,
2002-10,0.412,
2003-01,1.507,
2003-04,1.592,
2003-07,1.362,
2003-10,0.555,
2004-01,1.654,
2004-04,2.055,
2004-07,1.501,
2004-10,0.836,
2005-01,1.600,
2005-04,1.860,
2005-07,0.822,
2005-10,0.962,
2006-01,1.834,
2006-04,0.964,
2006-07,0.706,
2006-10,1.423,
2007-01,1.194,
2007-04,1.266,
2007-07,1.564,
2007-10,1.742,
2008-01,1.338,
2008-04,1.834,
2008-07,0.764,
2008-10,0.659,
2009-01,2.097,
2009-04,2.173,
2009-07,1.142,
2009-10,0.778,
2010-01,1.486,
2010-04,1.206,
2010-07,1.181,
2010-10,0.922,
2011-01,1.484,
2011-04,1.790,
2011-07,1.113,
2011-10,1.243,
2012-01,1.303,
2012-04,0.946,
2012-07,1.628,
2012-10,0.965,
2013-01,0.529,
2013-04,0.535,
2013-07,0.849,
2013-10,0.345,
2014-01,0.510,
2014-04,0.427,
2014-07,1.007,
