"",BBFB1.Q.N.DE.PT.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:34,
1991-01,405.016,
1991-04,444.096,
1991-07,263.052,
1991-10,391.531,
1992-01,272.688,
1992-04,344.793,
1992-07,300.641,
1992-10,278.119,
1993-01,358.125,
1993-04,325.000,
1993-07,115.445,
1993-10,135.602,
1994-01,143.030,
1994-04,198.056,
1994-07,170.701,
1994-10,139.334,
1995-01,125.956,
1995-04,228.972,
1995-07,58.232,
1995-10,101.483,
1996-01,108.505,
1996-04,158.886,
1996-07,90.224,
1996-10,100.442,
1997-01,188.719,
1997-04,141.365,
1997-07,166.497,
1997-10,236.827,
1998-01,160.815,
1998-04,172.819,
1998-07,46.465,
1998-10,196.715,
1999-01,99.580,
1999-04,20.128,
1999-07,190.978,
1999-10,300.202,
2000-01,427.896,
2000-04,252.564,
2000-07,134.319,
2000-10,94.428,
2001-01,312.563,
2001-04,252.168,
2001-07,167.390,
2001-10,265.827,
2002-01,284.329,
2002-04,288.707,
2002-07,254.572,
2002-10,127.520,
2003-01,273.116,
2003-04,281.203,
2003-07,374.052,
2003-10,257.342,
2004-01,329.055,
2004-04,558.097,
2004-07,384.138,
2004-10,396.806,
2005-01,727.211,
2005-04,938.774,
2005-07,718.751,
2005-10,784.869,
2006-01,1016.607,
2006-04,744.724,
2006-07,631.538,
2006-10,537.391,
2007-01,960.734,
2007-04,1055.746,
2007-07,758.159,
2007-10,897.411,
2008-01,786.063,
2008-04,941.197,
2008-07,937.203,
2008-10,828.931,
2009-01,627.334,
2009-04,542.569,
2009-07,610.687,
2009-10,499.818,
2010-01,573.426,
2010-04,1013.317,
2010-07,652.853,
2010-10,908.550,
2011-01,781.532,
2011-04,642.276,
2011-07,451.574,
2011-10,298.851,
2012-01,484.479,
2012-04,344.409,
2012-07,210.228,
2012-10,281.887,
2013-01,388.716,
2013-04,358.488,
2013-07,226.613,
2013-10,335.931,
2014-01,471.450,Provisional value
2014-04,504.546,Provisional value
2014-07,422.700,Provisional value
