"",BBK01.OECB19V,BBK01.OECB19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:27,
2002-01,0.046,
2002-04,0.045,
2002-07,0.044,
2002-10,0.043,
2003-01,0.041,
2003-04,0.039,
2003-07,0.040,
2003-10,0.040,
2004-01,0.035,
2004-04,0.079,
2004-07,0.074,
2004-10,0.070,
2005-01,0.096,
2005-04,0.093,
2005-07,0.090,
2005-10,0.086,
2006-01,0.082,
2006-04,0.079,
2006-07,0.078,
2006-10,0.073,
2007-01,0.068,
2007-04,0.065,
2007-07,0.067,
2007-10,0.061,
2008-01,0.056,
2008-04,0.052,
2008-07,0.056,
2008-10,0.049,
2009-01,0.048,
2009-04,0.051,
2009-07,0.048,
2009-10,0.047,
2010-01,0.046,
2010-04,0.053,
2010-07,0.069,
2010-10,0.068,
2011-01,0.068,
2011-04,0.070,
2011-07,0.078,
2011-10,0.082,
2012-01,0.084,
2012-04,0.085,
2012-07,0.087,
2012-10,0.087,
2013-01,0.086,
2013-04,0.083,
2013-07,0.078,
2013-10,0.074,
2014-01,0.071,
2014-04,0.070,
2014-07,0.066,
