"",BBK01.OELO06J,BBK01.OELO06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:27,
2002-01,0.741,
2002-04,0.733,
2002-07,0.729,
2002-10,0.773,
2003-01,0.804,
2003-04,0.783,
2003-07,0.796,
2003-10,0.808,
2004-01,0.811,
2004-04,0.809,
2004-07,0.803,
2004-10,0.830,
2005-01,0.784,
2005-04,0.787,
2005-07,0.785,
2005-10,0.823,
2006-01,0.841,
2006-04,0.844,
2006-07,0.843,
2006-10,0.846,
2007-01,0.819,
2007-04,0.804,
2007-07,0.785,
2007-10,0.815,
2008-01,0.808,
2008-04,0.796,
2008-07,0.765,
2008-10,0.795,
2009-01,0.801,
2009-04,0.792,
2009-07,0.765,
2009-10,0.797,
2010-01,0.805,
2010-04,0.818,
2010-07,0.812,
2010-10,0.806,
2011-01,0.806,
2011-04,0.821,
2011-07,0.817,
2011-10,0.828,
2012-01,0.840,
2012-04,0.857,
2012-07,0.836,
2012-10,0.840,
2013-01,0.854,
2013-04,0.854,
2013-07,0.851,
2013-10,0.860,
2014-01,0.654,
2014-04,0.653,
2014-07,0.655,
