"",BBK01.OEAC04J,BBK01.OEAC04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:51,
2002-01,0.460,
2002-04,0.450,
2002-07,0.456,
2002-10,0.442,
2003-01,0.431,
2003-04,0.427,
2003-07,0.395,
2003-10,0.379,
2004-01,0.376,
2004-04,0.383,
2004-07,0.387,
2004-10,0.340,
2005-01,0.346,
2005-04,0.350,
2005-07,0.346,
2005-10,0.337,
2006-01,0.348,
2006-04,0.367,
2006-07,0.353,
2006-10,0.330,
2007-01,0.342,
2007-04,0.363,
2007-07,0.367,
2007-10,0.368,
2008-01,0.377,
2008-04,0.392,
2008-07,0.378,
2008-10,0.338,
2009-01,0.564,
2009-04,0.547,
2009-07,0.552,
2009-10,0.495,
2010-01,0.330,
2010-04,0.539,
2010-07,0.450,
2010-10,0.439,
2011-01,0.448,
2011-04,0.462,
2011-07,0.455,
2011-10,0.436,
2012-01,0.463,
2012-04,0.475,
2012-07,0.462,
2012-10,0.447,
2013-01,0.445,
2013-04,0.467,
2013-07,0.500,
2013-10,0.458,
2014-01,0.427,
2014-04,0.416,
2014-07,0.439,
