"",BBK01.OELO06T,BBK01.OELO06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:52,
2002-01,1.695,
2002-04,1.660,
2002-07,1.665,
2002-10,1.716,
2003-01,1.721,
2003-04,1.689,
2003-07,1.708,
2003-10,1.754,
2004-01,1.777,
2004-04,1.765,
2004-07,1.744,
2004-10,1.814,
2005-01,1.827,
2005-04,1.815,
2005-07,1.821,
2005-10,1.858,
2006-01,1.863,
2006-04,1.851,
2006-07,1.856,
2006-10,1.843,
2007-01,1.818,
2007-04,1.804,
2007-07,1.808,
2007-10,1.824,
2008-01,1.810,
2008-04,1.765,
2008-07,1.740,
2008-10,1.765,
2009-01,1.753,
2009-04,1.717,
2009-07,1.697,
2009-10,1.737,
2010-01,1.709,
2010-04,1.673,
2010-07,1.656,
2010-10,1.669,
2011-01,1.668,
2011-04,1.660,
2011-07,1.647,
2011-10,1.671,
2012-01,1.666,
2012-04,1.640,
2012-07,1.638,
2012-10,1.656,
2013-01,1.651,
2013-04,1.651,
2013-07,1.659,
2013-10,1.680,
2014-01,1.703,
2014-04,1.690,
2014-07,1.625,
