"",BBK01.CELFI5,BBK01.CELFI5_FLAGS
"",long-term loans debtor: Households (incl. NPISH)         creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:35,
1999-01,0.4,
1999-04,7.9,
1999-07,-3.8,
1999-10,2.1,
2000-01,-0.2,
2000-04,3.5,
2000-07,-3.1,
2000-10,2.5,
2001-01,1.0,
2001-04,-2.9,
2001-07,2.8,
2001-10,-1.8,
2002-01,0.2,
2002-04,-4.0,
2002-07,-0.2,
2002-10,0.1,
2003-01,-1.6,
2003-04,1.7,
2003-07,-0.2,
2003-10,0.2,
2004-01,-0.1,
2004-04,0.5,
2004-07,-0.6,
2004-10,0.3,
2005-01,-0.2,
2005-04,0.3,
2005-07,0.3,
2005-10,0.0,
2006-01,0.6,
2006-04,-0.7,
2006-07,0.1,
2006-10,0.2,
2007-01,0.7,
2007-04,1.6,
2007-07,-2.7,
2007-10,0.3,
2008-01,0.4,
2008-04,0.4,
2008-07,-0.6,
2008-10,-0.9,
2009-01,0.6,
2009-04,0.4,
2009-07,-0.4,
2009-10,0.0,
2010-01,-0.1,
2010-04,0.1,
2010-07,0.0,
2010-10,0.1,
2011-01,0.3,
2011-04,0.4,
2011-07,0.4,
2011-10,0.8,
2012-01,0.2,
2012-04,0.3,
2012-07,0.1,
2012-10,-0.3,
2013-01,-0.1,
2013-04,0.3,
2013-07,0.4,
2013-10,-0.1,
2014-01,0.0,
2014-04,0.2,
2014-07,0.3,
