"",BBK01.OEAH89M,BBK01.OEAH89M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:08,
2002-01,9.371,
2002-04,8.926,
2002-07,9.156,
2002-10,9.428,
2003-01,9.391,
2003-04,9.223,
2003-07,9.158,
2003-10,9.368,
2004-01,9.657,
2004-04,9.967,
2004-07,9.877,
2004-10,10.036,
2005-01,10.457,
2005-04,10.865,
2005-07,10.950,
2005-10,11.032,
2006-01,10.689,
2006-04,9.328,
2006-07,9.382,
2006-10,10.491,
2007-01,9.359,
2007-04,9.275,
2007-07,8.645,
2007-10,7.722,
2008-01,7.234,
2008-04,7.289,
2008-07,7.591,
2008-10,7.234,
2009-01,7.113,
2009-04,1.817,
2009-07,1.754,
2009-10,1.758,
2010-01,1.633,
2010-04,1.577,
2010-07,1.593,
2010-10,1.584,
2011-01,1.350,
2011-04,1.340,
2011-07,1.377,
2011-10,1.396,
2012-01,1.395,
2012-04,1.379,
2012-07,1.317,
2012-10,1.291,
2013-01,1.290,
2013-04,1.353,
2013-07,1.323,
2013-10,1.304,
2014-01,1.700,
2014-04,1.953,
2014-07,1.992,
