"",BBEX3.A.FJD.USD.CM.AC.A04,BBEX3.A.FJD.USD.CM.AC.A04_FLAGS
"",Exchange rates for the US dollar in Fiji / FJD 1 = USD ... (middle),
unit,USD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:13:59,
1990,0.67536,
1991,0.67657,
1992,0.66336,
1993,0.64924,
1994,0.68525,
1995,0.71158,
1996,0.71389,
1997,0.68983,
1998,0.50259,comment
1999,0.50628,
2000,0.46815,
2001,0.43681,
2002,0.45891,
2003,0.53156,
2004,0.57768,
2005,0.58984,
2006,0.57846,
2007,0.62704,
2008,0.63164,
2009,0.51011,comment
2010,0.52133,
2011,0.56167,
2012,0.55909,
2013,0.54089,
2014,0.52871,
"","Source: Since May 2013: Bank South Pacific, Suva2006 - April 2013: Australia and New Zealand Banking Group (ANZ), Suva1990 - 2005: Westpac Banking Corporation, Suva",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1998: On 20 January 1998, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  19 January 1998: FJD 1 = USD 0.6583 / 0.6413  20 January 1998: FJD 1 = USD 0.5291 / 0.5121  Calculated devaluation: 19.9% (middle rate).",
"","Comment on 2009: On 15 April 2009, the Fiji dollar was devalued. We recorded the following exchange rates (buying/selling).  14 April 2009: FJD 1 = USD 0.5817 / 0.5647  15 April 2009: FJD 1 = USD 0.4643 / 0.4473  Calculated devaluation: 20.5% (middle rate).",
