"",BBK01.OEBM02U,BBK01.OEBM02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:27,
2002-01,0.134,
2002-04,0.164,
2002-07,0.168,
2002-10,0.211,
2003-01,0.202,
2003-04,0.222,
2003-07,0.203,
2003-10,0.253,
2004-01,0.237,
2004-04,0.288,
2004-07,0.312,
2004-10,0.314,
2005-01,0.324,
2005-04,0.345,
2005-07,0.362,
2005-10,0.374,
2006-01,0.355,
2006-04,0.353,
2006-07,0.328,
2006-10,0.275,
2007-01,0.217,
2007-04,0.306,
2007-07,0.223,
2007-10,0.228,
2008-01,0.201,
2008-04,0.209,
2008-07,0.186,
2008-10,0.427,
2009-01,0.631,
2009-04,0.710,
2009-07,0.741,
2009-10,0.686,
2010-01,0.661,
2010-04,0.623,
2010-07,0.664,
2010-10,0.669,
2011-01,0.656,
2011-04,0.618,
2011-07,0.648,
2011-10,0.489,
2012-01,0.420,
2012-04,0.360,
2012-07,0.370,
2012-10,0.352,
2013-01,0.356,
2013-04,0.386,
2013-07,0.357,
2013-10,0.341,
2014-01,0.325,
2014-04,0.345,
2014-07,0.354,
