"",BBK01.OELJ02U,BBK01.OELJ02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:30,
2002-01,0.274,
2002-04,0.276,
2002-07,0.286,
2002-10,0.319,
2003-01,0.272,
2003-04,0.292,
2003-07,0.333,
2003-10,0.361,
2004-01,0.330,
2004-04,0.316,
2004-07,0.341,
2004-10,0.352,
2005-01,0.321,
2005-04,0.343,
2005-07,0.352,
2005-10,0.409,
2006-01,0.360,
2006-04,0.342,
2006-07,0.372,
2006-10,0.463,
2007-01,0.414,
2007-04,0.402,
2007-07,0.420,
2007-10,0.488,
2008-01,0.422,
2008-04,0.410,
2008-07,0.436,
2008-10,0.503,
2009-01,0.478,
2009-04,0.501,
2009-07,0.547,
2009-10,0.622,
2010-01,0.592,
2010-04,0.620,
2010-07,0.682,
2010-10,0.743,
2011-01,0.692,
2011-04,0.691,
2011-07,0.736,
2011-10,0.773,
2012-01,0.739,
2012-04,0.736,
2012-07,0.831,
2012-10,0.892,
2013-01,0.845,
2013-04,0.886,
2013-07,0.916,
2013-10,0.985,
2014-01,0.934,
2014-04,0.885,
2014-07,1.025,
