"",BBK01.OEAC48M,BBK01.OEAC48M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:44,
2002-01,2.557,
2002-04,2.598,
2002-07,2.335,
2002-10,2.634,
2003-01,2.724,
2003-04,2.921,
2003-07,2.971,
2003-10,3.197,
2004-01,3.190,
2004-04,3.225,
2004-07,3.298,
2004-10,3.377,
2005-01,3.186,
2005-04,3.224,
2005-07,3.203,
2005-10,3.420,
2006-01,3.553,
2006-04,3.684,
2006-07,3.787,
2006-10,3.977,
2007-01,4.003,
2007-04,4.214,
2007-07,4.249,
2007-10,4.342,
2008-01,4.350,
2008-04,4.482,
2008-07,4.550,
2008-10,4.817,
2009-01,5.187,
2009-04,5.445,
2009-07,5.592,
2009-10,5.819,
2010-01,6.895,
2010-04,7.447,
2010-07,7.810,
2010-10,7.362,
2011-01,7.568,
2011-04,7.935,
2011-07,8.168,
2011-10,8.856,
2012-01,9.070,
2012-04,9.326,
2012-07,9.495,
2012-10,9.895,
2013-01,9.955,
2013-04,10.093,
2013-07,10.336,
2013-10,10.620,
2014-01,10.428,
2014-04,10.578,
2014-07,10.701,
