"",BBK01.OUN347,BBK01.OUN347_FLAGS
"",Lending to the Federal Government and its special funds / Total / Special purpose banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:55:24,
1999-01,10.702,
1999-02,12.662,
1999-03,12.078,
1999-04,11.744,
1999-05,11.501,
1999-06,12.055,
1999-07,11.418,
1999-08,11.521,
1999-09,12.701,
1999-10,15.514,
1999-11,14.269,
1999-12,10.343,
2000-01,11.240,
2000-02,9.944,
2000-03,9.921,
2000-04,9.199,
2000-05,4.946,
2000-06,5.279,
2000-07,5.143,
2000-08,5.302,
2000-09,5.343,
2000-10,4.745,
2000-11,4.770,
2000-12,4.555,
2001-01,2.417,
2001-02,2.887,
2001-03,6.147,
2001-04,3.505,
2001-05,2.878,
2001-06,3.211,
2001-07,3.212,
2001-08,3.140,
2001-09,3.188,
2001-10,2.916,
2001-11,4.780,
2001-12,2.745,
2002-01,3.385,
2002-02,3.006,
2002-03,3.956,
2002-04,3.207,
2002-05,2.587,
2002-06,2.521,
2002-07,2.567,
2002-08,2.516,
2002-09,2.221,
2002-10,2.300,
2002-11,2.438,
2002-12,2.507,
2003-01,2.858,
2003-02,2.809,
2003-03,3.230,
2003-04,3.122,
2003-05,3.040,
2003-06,3.319,
2003-07,3.080,
2003-08,2.965,
2003-09,2.816,
2003-10,3.033,
2003-11,2.955,
2003-12,3.010,
2004-01,3.097,
2004-02,3.184,
2004-03,3.241,
2004-04,3.565,
2004-05,3.740,
2004-06,3.516,
2004-07,3.385,
2004-08,3.298,
2004-09,3.230,
2004-10,3.529,
2004-11,3.879,
2004-12,10.023,
2005-01,9.164,
2005-02,8.180,
2005-03,8.524,
2005-04,8.103,
2005-05,8.192,
2005-06,8.134,
2005-07,7.989,
2005-08,8.249,
2005-09,8.161,
2005-10,8.088,
2005-11,8.370,
2005-12,8.950,
2006-01,8.884,
2006-02,8.917,
2006-03,8.988,
2006-04,8.613,
2006-05,8.381,
2006-06,8.019,
2006-07,8.059,
2006-08,8.114,
2006-09,8.142,
2006-10,8.295,
2006-11,8.348,
2006-12,9.309,
2007-01,9.537,
2007-02,8.342,
2007-03,8.065,
2007-04,8.199,
2007-05,8.527,
2007-06,8.731,
2007-07,8.714,
2007-08,8.859,
2007-09,7.118,
2007-10,6.777,
2007-11,6.484,
2007-12,7.224,
2008-01,6.535,
2008-02,6.707,
2008-03,6.602,
2008-04,6.568,
2008-05,6.434,
2008-06,7.039,
2008-07,7.714,
2008-08,7.364,
2008-09,6.623,
2008-10,6.192,
2008-11,6.038,
2008-12,6.903,
2009-01,7.009,
2009-02,6.077,
2009-03,5.910,
2009-04,6.170,
2009-05,6.385,
2009-06,6.420,
2009-07,6.407,
2009-08,6.464,
2009-09,7.471,
2009-10,9.165,
2009-11,8.233,
2009-12,8.689,
2010-01,9.215,
2010-02,9.327,
2010-03,9.717,
2010-04,10.245,
2010-05,10.188,
2010-06,9.841,
2010-07,9.593,
2010-08,9.525,
2010-09,9.341,
2010-10,9.892,
2010-11,9.893,
2010-12,9.754,
2011-01,11.275,
2011-02,11.244,
2011-03,10.909,
2011-04,11.046,
2011-05,11.000,
2011-06,10.772,
2011-07,10.929,
2011-08,10.842,
2011-09,10.720,
2011-10,10.952,
2011-11,11.270,
2011-12,9.567,
2012-01,11.252,
2012-02,12.781,
2012-03,13.608,
2012-04,14.690,
2012-05,15.386,
2012-06,15.943,
2012-07,16.280,
2012-08,16.458,
2012-09,16.769,
2012-10,16.863,
2012-11,16.992,
2012-12,15.192,
2013-01,15.222,
2013-02,15.160,
2013-03,16.899,
2013-04,18.339,
2013-05,18.053,
2013-06,16.811,
2013-07,17.334,
2013-08,16.775,
2013-09,16.998,
2013-10,17.369,
2013-11,17.240,
2013-12,16.615,
2014-01,17.104,
2014-02,17.751,
2014-03,16.616,
2014-04,16.829,
2014-05,17.713,
2014-06,17.338,
2014-07,17.793,
2014-08,18.366,
2014-09,18.260,
2014-10,20.989,
2014-11,21.971,
2014-12,17.129,Provisional value
