"",BBK01.SUD109S,BBK01.SUD109S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Non-financial corporations' deposits with an agreed maturity of over 1 year and up to 2 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:55,
2000-01,4.8816,Estimated value
2000-02,5.0527,Estimated value
2000-03,5.1741,Estimated value
2000-04,5.3014,Estimated value
2000-05,5.6701,Estimated value
2000-06,5.8476,Estimated value
2000-07,6.0148,Estimated value
2000-08,6.1591,Estimated value
2000-09,6.1687,Estimated value
2000-10,6.1889,Estimated value
2000-11,6.1486,Estimated value
2000-12,5.8314,Estimated value
2001-01,5.4707,Estimated value
2001-02,5.4459,Estimated value
2001-03,5.3147,Estimated value
2001-04,5.3008,Estimated value
2001-05,5.3356,Estimated value
2001-06,5.1425,Estimated value
2001-07,5.1367,Estimated value
2001-08,4.9332,Estimated value
2001-09,4.5622,Estimated value
2001-10,4.1470,Estimated value
2001-11,3.8996,Estimated value
2001-12,4.0100,Estimated value
2002-01,4.1815,Estimated value
2002-02,4.3088,Estimated value
2002-03,4.5444,Estimated value
2002-04,4.5897,Estimated value
2002-05,4.6564,Estimated value
2002-06,4.6076,Estimated value
2002-07,4.4195,Estimated value
2002-08,4.1316,Estimated value
2002-09,3.9051,Estimated value
2002-10,3.7277,Estimated value
2002-11,3.6281,Estimated value
2002-12,3.4664,Estimated value
