"",BBK01.OEHB22R,BBK01.OEHB22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:03,
2002-01,0.023,
2002-04,0.032,
2002-07,0.036,
2002-10,0.032,
2003-01,0.079,
2003-04,0.056,
2003-07,0.063,
2003-10,0.097,
2004-01,0.096,
2004-04,0.071,
2004-07,0.069,
2004-10,0.128,
2005-01,0.114,
2005-04,0.120,
2005-07,0.110,
2005-10,0.159,
2006-01,0.159,
2006-04,0.141,
2006-07,0.148,
2006-10,0.140,
2007-01,0.149,
2007-04,0.173,
2007-07,0.153,
2007-10,0.136,
2008-01,0.110,
2008-04,0.090,
2008-07,0.083,
2008-10,0.090,
2009-01,0.083,
2009-04,0.065,
2009-07,0.075,
2009-10,0.070,
2010-01,0.046,
2010-04,0.048,
2010-07,0.051,
2010-10,0.053,
2011-01,0.063,
2011-04,0.094,
2011-07,0.072,
2011-10,0.065,
2012-01,0.104,
2012-04,0.103,
2012-07,0.114,
2012-10,0.130,
2013-01,0.143,
2013-04,0.177,
2013-07,0.178,
2013-10,0.204,
2014-01,0.235,
2014-04,0.281,
2014-07,0.270,
