"",BBK01.OEBB07H,BBK01.OEBB07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:43,
2002-01,14.820,
2002-04,14.837,
2002-07,14.538,
2002-10,14.168,
2003-01,14.395,
2003-04,14.189,
2003-07,14.799,
2003-10,14.872,
2004-01,13.892,
2004-04,15.092,
2004-07,14.501,
2004-10,14.184,
2005-01,14.613,
2005-04,15.138,
2005-07,14.988,
2005-10,14.766,
2006-01,14.658,
2006-04,14.008,
2006-07,14.098,
2006-10,14.039,
2007-01,13.930,
2007-04,14.306,
2007-07,14.089,
2007-10,14.404,
2008-01,14.170,
2008-04,14.141,
2008-07,13.253,
2008-10,14.172,
2009-01,14.440,
2009-04,15.176,
2009-07,15.627,
2009-10,15.472,
2010-01,15.092,
2010-04,15.605,
2010-07,14.770,
2010-10,15.030,
2011-01,15.317,
2011-04,15.278,
2011-07,22.703,
2011-10,23.189,
2012-01,21.526,
2012-04,21.630,
2012-07,22.067,
2012-10,22.813,
2013-01,23.826,
2013-04,23.572,
2013-07,23.394,
2013-10,23.303,
2014-01,22.959,
2014-04,23.354,
2014-07,23.469,
