"",BBK01.OEAG03Q,BBK01.OEAG03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:31,
2002-01,5.620,
2002-04,5.086,
2002-07,3.112,
2002-10,2.956,
2003-01,2.508,
2003-04,2.122,
2003-07,2.115,
2003-10,2.146,
2004-01,1.995,
2004-04,2.055,
2004-07,2.281,
2004-10,3.808,
2005-01,3.554,
2005-04,4.944,
2005-07,5.034,
2005-10,4.967,
2006-01,4.462,
2006-04,4.117,
2006-07,4.072,
2006-10,5.341,
2007-01,5.808,
2007-04,6.161,
2007-07,6.160,
2007-10,6.448,
2008-01,7.179,
2008-04,7.059,
2008-07,6.750,
2008-10,6.661,
2009-01,6.874,
2009-04,7.021,
2009-07,7.026,
2009-10,6.462,
2010-01,6.441,
2010-04,5.259,
2010-07,4.789,
2010-10,4.876,
2011-01,4.367,
2011-04,4.367,
2011-07,4.572,
2011-10,4.296,
2012-01,4.230,
2012-04,5.036,
2012-07,4.700,
2012-10,4.822,
2013-01,4.558,
2013-04,4.079,
2013-07,4.575,
2013-10,4.478,
2014-01,4.416,
2014-04,4.594,
2014-07,4.511,
