"",BBK01.OEAD07K,BBK01.OEAD07K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:33,
2002-01,0.683,
2002-04,0.717,
2002-07,0.604,
2002-10,0.566,
2003-01,0.559,
2003-04,0.496,
2003-07,0.511,
2003-10,0.483,
2004-01,0.458,
2004-04,0.490,
2004-07,0.473,
2004-10,0.412,
2005-01,0.409,
2005-04,0.431,
2005-07,0.471,
2005-10,0.433,
2006-01,0.440,
2006-04,0.451,
2006-07,0.490,
2006-10,0.504,
2007-01,0.652,
2007-04,0.541,
2007-07,0.607,
2007-10,0.621,
2008-01,0.719,
2008-04,0.854,
2008-07,0.893,
2008-10,0.641,
2009-01,0.621,
2009-04,0.643,
2009-07,0.584,
2009-10,0.539,
2010-01,0.577,
2010-04,0.506,
2010-07,0.576,
2010-10,0.570,
2011-01,0.627,
2011-04,0.609,
2011-07,0.588,
2011-10,0.501,
2012-01,0.499,
2012-04,0.461,
2012-07,0.529,
2012-10,0.559,
2013-01,0.523,
2013-04,0.541,
2013-07,0.474,
2013-10,0.468,
2014-01,0.470,
2014-04,0.463,
2014-07,0.427,
