"",BBK01.OEXI08S,BBK01.OEXI08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:17,
2002-01,0.253,
2002-04,0.242,
2002-07,0.224,
2002-10,0.243,
2003-01,0.251,
2003-04,0.261,
2003-07,0.262,
2003-10,0.262,
2004-01,0.253,
2004-04,0.248,
2004-07,0.243,
2004-10,0.255,
2005-01,0.265,
2005-04,0.264,
2005-07,0.267,
2005-10,0.278,
2006-01,0.289,
2006-04,0.284,
2006-07,0.272,
2006-10,0.276,
2007-01,0.283,
2007-04,0.288,
2007-07,0.299,
2007-10,0.314,
2008-01,0.328,
2008-04,0.325,
2008-07,0.329,
2008-10,0.339,
2009-01,0.337,
2009-04,0.318,
2009-07,0.328,
2009-10,0.355,
2010-01,0.372,
2010-04,0.362,
2010-07,0.363,
2010-10,0.365,
2011-01,0.364,
2011-04,0.336,
2011-07,0.329,
2011-10,0.335,
2012-01,0.333,
2012-04,0.341,
2012-07,0.353,
2012-10,0.370,
2013-01,0.371,
2013-04,0.370,
2013-07,0.377,
2013-10,0.386,
2014-01,0.392,
2014-04,0.388,
2014-07,0.382,
