"",BBFN1.M.DE.N.1.A.CN.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CN.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"","Claims of enterprises on non-residents arising from financial operations / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:58,
1995-01,0.071,
1995-02,0.079,
1995-03,0.070,
1995-04,0.071,
1995-05,0.081,
1995-06,0.081,
1995-07,0.082,
1995-08,0.093,
1995-09,0.097,
1995-10,0.098,
1995-11,0.096,
1995-12,0.095,
1996-01,0.100,
1996-02,0.106,
1996-03,0.116,
1996-04,0.120,
1996-05,0.129,
1996-06,0.138,
1996-07,0.149,
1996-08,0.167,
1996-09,0.166,
1996-10,0.184,
1996-11,0.202,
1996-12,0.238,
1997-01,0.246,
1997-02,0.251,
1997-03,0.250,
1997-04,0.243,
1997-05,0.246,
1997-06,0.264,
1997-07,0.266,
1997-08,0.331,
1997-09,0.292,
1997-10,0.302,
1997-11,0.303,
1997-12,0.304,
1998-01,0.242,
1998-02,0.307,
1998-03,0.236,
1998-04,0.241,
1998-05,0.237,
1998-06,0.255,
1998-07,0.251,
1998-08,0.264,
1998-09,0.250,
1998-10,0.260,
1998-11,0.259,
1998-12,0.237,
1999-01,0.245,
1999-02,0.251,
1999-03,0.257,
1999-04,0.275,
1999-05,0.280,
1999-06,0.294,
1999-07,0.298,
1999-08,0.297,
1999-09,0.296,
1999-10,0.300,
1999-11,0.287,
1999-12,0.287,
2000-01,0.296,
2000-02,0.271,
2000-03,0.280,
2000-04,0.262,
2000-05,0.284,
2000-06,0.318,
2000-07,0.324,
2000-08,0.293,
2000-09,0.297,
2000-10,0.292,
2000-11,0.302,
2000-12,0.293,
2001-01,0.319,
2001-02,0.319,
2001-03,0.343,
2001-04,0.364,
2001-05,0.420,
2001-06,0.348,
2001-07,0.348,
2001-08,0.336,
2001-09,0.305,
2001-10,0.295,
2001-11,0.290,
2001-12,0.552,
2002-01,0.578,
2002-02,0.533,
2002-03,0.519,
2002-04,0.563,
2002-05,0.539,
2002-06,0.547,
2002-07,0.550,
2002-08,0.520,
2002-09,0.530,
2002-10,0.382,
2002-11,0.354,
2002-12,0.488,
2003-01,0.504,
2003-02,0.471,
2003-03,0.504,
2003-04,0.561,
2003-05,0.585,
2003-06,0.601,
2003-07,0.589,
2003-08,0.587,
2003-09,0.553,
2003-10,0.482,
2003-11,0.788,
2003-12,0.869,
2004-01,0.819,
2004-02,0.801,
2004-03,0.845,
2004-04,0.870,
2004-05,1.141,
2004-06,1.107,
2004-07,1.109,
2004-08,1.106,
2004-09,0.887,
2004-10,0.936,
2004-11,0.941,
2004-12,0.927,
2005-01,1.069,
2005-02,1.098,
2005-03,1.097,
2005-04,1.179,
2005-05,1.312,
2005-06,1.511,
2005-07,1.552,
2005-08,1.602,
2005-09,1.614,
2005-10,1.723,
2005-11,1.734,
2005-12,1.686,
2006-01,1.779,
2006-02,1.872,
2006-03,1.767,
2006-04,1.839,
2006-05,1.849,
2006-06,1.782,
2006-07,1.804,
2006-08,1.708,
2006-09,1.854,
2006-10,1.822,
2006-11,1.844,
2006-12,1.851,
2007-01,1.837,
2007-02,1.886,
2007-03,1.809,
2007-04,1.908,
2007-05,1.795,
2007-06,1.726,
2007-07,1.769,
2007-08,1.830,
2007-09,1.878,
2007-10,1.845,
2007-11,1.870,
2007-12,1.927,
2008-01,1.997,
2008-02,2.066,
2008-03,2.135,
2008-04,2.248,
2008-05,2.304,
2008-06,2.179,
2008-07,2.233,
2008-08,2.244,
2008-09,2.329,
2008-10,2.389,
2008-11,2.359,
2008-12,2.249,
2009-01,2.302,
2009-02,2.294,
2009-03,2.250,
2009-04,2.297,
2009-05,2.444,
2009-06,2.417,
2009-07,2.390,
2009-08,2.463,
2009-09,2.345,
2009-10,2.325,
2009-11,2.354,
2009-12,2.358,
2010-01,2.303,
2010-02,2.410,
2010-03,2.361,
2010-04,2.574,
2010-05,2.692,
2010-06,2.932,
2010-07,3.016,
2010-08,3.012,
2010-09,2.652,
2010-10,2.542,
2010-11,2.601,
2010-12,2.505,
2011-01,2.521,
2011-02,2.530,
2011-03,2.537,
2011-04,2.819,
2011-05,3.104,
2011-06,3.092,
2011-07,3.119,
2011-08,3.074,
2011-09,3.278,
2011-10,3.027,
2011-11,3.207,
2011-12,3.650,
2012-01,3.512,
2012-02,3.166,
2012-03,3.618,
2012-04,4.421,
2012-05,3.730,
2012-06,3.429,
2012-07,3.542,
2012-08,3.463,
2012-09,3.376,
2012-10,3.414,
2012-11,3.418,
2012-12,3.461,
2013-01,3.244,
2013-02,3.415,
2013-03,3.559,
2013-04,4.226,
2013-05,4.135,
2013-06,3.743,
2013-07,3.470,
2013-08,3.660,
2013-09,3.306,
2013-10,3.272,
2013-11,3.241,
2013-12,3.261,
2014-01,3.466,
2014-02,3.494,
2014-03,3.707,
2014-04,5.313,
2014-05,3.972,
2014-06,4.104,
2014-07,4.081,
2014-08,4.248,
2014-09,4.032,
2014-10,3.954,
2014-11,4.310,
2014-12,4.871,
"",General: Excluding Hong Kong.,
