"",BBFN1.M.DE.N.1.A.DK.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:03,
1982-09,0.076,
1982-10,0.076,
1982-11,0.078,
1982-12,0.077,
1983-01,0.077,
1983-02,0.076,
1983-03,0.078,
1983-04,0.075,
1983-05,0.076,
1983-06,0.081,
1983-07,0.080,
1983-08,0.081,
1983-09,0.084,
1983-10,0.083,
1983-11,0.090,
1983-12,0.090,
1984-01,0.091,
1984-02,0.094,
1984-03,0.090,
1984-04,0.095,
1984-05,0.095,
1984-06,0.092,
1984-07,0.102,
1984-08,0.100,
1984-09,0.104,
1984-10,0.105,
1984-11,0.096,
1984-12,0.098,
1985-01,0.108,
1985-02,0.117,
1985-03,0.112,
1985-04,0.120,
1985-05,0.114,
1985-06,0.112,
1985-07,0.115,
1985-08,0.120,
1985-09,0.121,
1985-10,0.119,
1985-11,0.129,
1985-12,0.137,
1986-01,0.115,
1986-02,0.131,
1986-03,0.140,
1986-04,0.166,
1986-05,0.166,
1986-06,0.148,
1986-07,0.161,
1986-08,0.168,
1986-09,0.155,
1986-10,0.153,
1986-11,0.158,
1986-12,0.174,
1987-01,0.202,
1987-02,0.171,
1987-03,0.144,
1987-04,0.144,
1987-05,0.148,
1987-06,0.175,
1987-07,0.181,
1987-08,0.149,
1987-09,0.169,
1987-10,0.145,
1987-11,0.137,
1987-12,0.128,
1988-01,0.107,
1988-02,0.123,
1988-03,0.116,
1988-04,0.120,
1988-05,0.121,
1988-06,0.141,
1988-07,0.152,
1988-08,0.159,
1988-09,0.197,
1988-10,0.192,
1988-11,0.169,
1988-12,0.154,
1989-01,0.152,
1989-02,0.150,
1989-03,0.144,
1989-04,0.167,
1989-05,0.205,
1989-06,0.211,
1989-07,0.224,
1989-08,0.179,
1989-09,0.220,
1989-10,0.223,
1989-11,0.254,
1989-12,0.192,
1990-01,0.210,
1990-02,0.217,
1990-03,0.179,
1990-04,0.185,
1990-05,0.207,
1990-06,0.173,
1990-07,0.190,
1990-08,0.216,
1990-09,0.214,
1990-10,0.213,
1990-11,0.209,
1990-12,0.192,
1991-01,0.235,
1991-02,0.235,
1991-03,0.240,
1991-04,0.224,
1991-05,0.250,
1991-06,0.260,
1991-07,0.241,
1991-08,0.216,
1991-09,0.227,
1991-10,0.230,
1991-11,0.250,
1991-12,0.271,
1992-01,0.244,
1992-02,0.277,
1992-03,0.312,
1992-04,0.298,
1992-05,0.321,
1992-06,0.293,
1992-07,0.295,
1992-08,0.280,
1992-09,0.261,
1992-10,0.278,
1992-11,0.300,
1992-12,0.335,
1993-01,0.366,
1993-02,0.365,
1993-03,0.409,
1993-04,0.414,
1993-05,0.404,
1993-06,0.411,
1993-07,0.432,
1993-08,0.485,
1993-09,0.476,
1993-10,0.491,
1993-11,0.672,
1993-12,0.550,
1994-01,0.445,
1994-02,0.487,
1994-03,0.511,
1994-04,0.503,
1994-05,0.504,
1994-06,0.500,
1994-07,0.557,
1994-08,0.467,
1994-09,0.450,
1994-10,0.450,
1994-11,0.360,
1994-12,0.343,
1995-01,0.372,
1995-02,0.380,
1995-03,0.388,
1995-04,0.356,
1995-05,0.325,
1995-06,0.310,
1995-07,0.347,
1995-08,0.341,
1995-09,0.339,
1995-10,0.342,
1995-11,0.356,
1995-12,0.286,
1996-01,0.302,
1996-02,0.284,
1996-03,0.279,
1996-04,0.273,
1996-05,0.296,
1996-06,0.326,
1996-07,0.341,
1996-08,0.427,
1996-09,0.433,
1996-10,0.567,
1996-11,0.499,
1996-12,0.356,
1997-01,0.353,
1997-02,0.574,
1997-03,0.444,
1997-04,0.485,
1997-05,0.550,
1997-06,0.476,
1997-07,0.543,
1997-08,0.479,
1997-09,0.412,
1997-10,0.403,
1997-11,0.539,
1997-12,0.400,
1998-01,0.426,
1998-02,0.481,
1998-03,0.489,
1998-04,0.512,
1998-05,0.557,
1998-06,0.482,
1998-07,0.492,
1998-08,0.462,
