"",BBK01.OEBK04G,BBK01.OEBK04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:09,
2002-01,0.981,
2002-04,0.950,
2002-07,1.095,
2002-10,1.067,
2003-01,0.844,
2003-04,0.767,
2003-07,0.642,
2003-10,0.598,
2004-01,0.538,
2004-04,0.523,
2004-07,0.510,
2004-10,0.582,
2005-01,0.512,
2005-04,0.505,
2005-07,0.378,
2005-10,0.423,
2006-01,0.488,
2006-04,0.508,
2006-07,0.551,
2006-10,0.671,
2007-01,0.709,
2007-04,0.722,
2007-07,0.777,
2007-10,1.001,
2008-01,0.957,
2008-04,1.036,
2008-07,1.127,
2008-10,1.018,
2009-01,0.755,
2009-04,0.810,
2009-07,0.673,
2009-10,0.464,
2010-01,0.337,
2010-04,0.229,
2010-07,0.246,
2010-10,0.259,
2011-01,0.279,
2011-04,0.296,
2011-07,0.314,
2011-10,0.338,
2012-01,0.315,
2012-04,0.290,
2012-07,0.271,
2012-10,0.299,
2013-01,0.295,
2013-04,0.311,
2013-07,0.319,
2013-10,0.257,
2014-01,0.229,
2014-04,0.355,
2014-07,0.553,
