"",BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.HK.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Hong Kong, China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:52,
1991-01,-9.096,
1991-04,-9.231,
1991-07,-0.459,
1991-10,-37.646,
1992-01,-48.072,
1992-04,-4.959,
1992-07,-9.496,
1992-10,2.982,
1993-01,11.740,
1993-04,14.249,
1993-07,-1.945,
1993-10,-5.621,
1994-01,37.425,
1994-04,41.686,
1994-07,40.267,
1994-10,-18.471,
1995-01,23.807,
1995-04,40.136,
1995-07,42.708,
1995-10,29.323,
1996-01,15.050,
1996-04,131.324,
1996-07,43.874,
1996-10,-2.328,
1997-01,432.541,
1997-04,89.564,
1997-07,-398.133,
1997-10,13.612,
1998-01,84.924,
1998-04,-64.719,
1998-07,33.835,
1998-10,-85.398,
1999-01,101.107,
1999-04,78.254,
1999-07,-173.641,
1999-10,51.605,
2000-01,1216.498,
2000-04,46.965,
2000-07,88.675,
2000-10,6.922,
2001-01,-141.422,
2001-04,-38.189,
2001-07,-177.183,
2001-10,22.571,
2002-01,-23.030,
2002-04,2.100,
2002-07,47.453,
2002-10,-5.362,
2003-01,6.577,
2003-04,23.387,
2003-07,49.204,
2003-10,65.703,
2004-01,31.396,
2004-04,-49.988,
2004-07,43.137,
2004-10,-1.879,
2005-01,102.557,
2005-04,-14.184,
2005-07,114.237,
2005-10,-119.430,
2006-01,362.617,
2006-04,79.529,
2006-07,148.995,
2006-10,-67.998,
2007-01,171.699,
2007-04,-201.674,
2007-07,-112.637,
2007-10,-32.226,
2008-01,-59.075,
2008-04,67.723,
2008-07,-54.447,
2008-10,0.262,
2009-01,133.290,
2009-04,288.860,
2009-07,-15.292,
2009-10,-52.653,
2010-01,-131.783,
2010-04,-33.790,
2010-07,-33.480,
2010-10,4.064,
2011-01,-68.885,
2011-04,-1.601,
2011-07,67.674,
2011-10,-62.351,
2012-01,-12.271,
2012-04,681.387,
2012-07,153.778,
2012-10,290.708,
2013-01,235.940,
2013-04,777.022,
2013-07,97.655,
2013-10,75.011,
2014-01,339.620,Provisional value
2014-04,-16.593,Provisional value
2014-07,296.884,Provisional value
2014-10,-9.705,Provisional value
