"",BBK01.CEH0C0,BBK01.CEH0C0_FLAGS
"",External financing debtor: General government                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:36,
1991-01,15.8,
1991-04,9.4,
1991-07,6.6,
1991-10,21.6,
1992-01,10.9,
1992-04,-0.6,
1992-07,14.8,
1992-10,29.4,
1993-01,13.8,
1993-04,18.2,
1993-07,18.2,
1993-10,28.4,
1994-01,22.1,
1994-04,0.1,
1994-07,10.5,
1994-10,27.2,
1995-01,97.9,
1995-04,11.6,
1995-07,21.1,
1995-10,36.0,
1996-01,8.6,
1996-04,6.9,
1996-07,19.8,
1996-10,26.7,
1997-01,16.4,
1997-04,10.8,
1997-07,11.7,
1997-10,9.7,
1998-01,17.4,
1998-04,1.1,
1998-07,8.8,
1998-10,4.2,
1999-01,12.1,
1999-04,3.1,
1999-07,10.1,
1999-10,14.0,
2000-01,17.3,
2000-04,-0.2,
2000-07,11.1,
2000-10,-13.4,
2001-01,-9.9,
2001-04,-4.5,
2001-07,16.0,
2001-10,13.6,
2002-01,25.9,
2002-04,2.1,
2002-07,20.3,
2002-10,9.0,
2003-01,36.3,
2003-04,14.3,
2003-07,20.3,
2003-10,19.1,
2004-01,45.0,
2004-04,8.1,
2004-07,17.4,
2004-10,-0.4,
2005-01,26.7,
2005-04,13.7,
2005-07,19.8,
2005-10,7.5,
2006-01,20.2,
2006-04,12.4,
2006-07,17.2,
2006-10,-1.1,
2007-01,5.6,
2007-04,19.6,
2007-07,-20.4,
2007-10,6.0,
2008-01,20.3,
2008-04,36.1,
2008-07,-4.0,
2008-10,18.6,
2009-01,28.7,
2009-04,65.2,
2009-07,4.6,
2009-10,10.9,
2010-01,21.0,
2010-04,41.0,
2010-07,24.6,
2010-10,201.6,
2011-01,5.5,
2011-04,12.4,
2011-07,15.9,
2011-10,-3.5,
2012-01,30.6,
2012-04,47.1,
2012-07,8.3,
2012-10,-14.3,
2013-01,-6.0,
2013-04,-3.3,
2013-07,-20.8,
2013-10,19.4,
2014-01,-9.1,
