"",BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:00,
1991-01,103.039,
1991-04,17.039,
1991-07,47.648,
1991-10,182.866,
1992-01,-18.653,
1992-04,-49.255,
1992-07,42.348,
1992-10,32.803,
1993-01,593.854,
1993-04,54.214,
1993-07,-18.124,
1993-10,-51.781,
1994-01,84.928,
1994-04,68.324,
1994-07,152.733,
1994-10,53.563,
1995-01,-71.640,
1995-04,-86.495,
1995-07,-22.184,
1995-10,-30.382,
1996-01,747.501,
1996-04,368.180,
1996-07,-1087.016,
1996-10,332.739,
1997-01,1750.433,
1997-04,-1400.344,
1997-07,1478.855,
1997-10,1620.625,
1998-01,617.597,
1998-04,367.021,
1998-07,687.971,
1998-10,-358.315,
1999-01,359.862,
1999-04,-511.991,
1999-07,-318.376,
1999-10,2331.858,
2000-01,-1084.227,
2000-04,4035.130,
2000-07,3306.235,
2000-10,2189.481,
2001-01,3760.730,
2001-04,5276.539,
2001-07,206.558,
2001-10,-648.835,
2002-01,1572.013,
2002-04,1140.830,
2002-07,533.428,
2002-10,1364.441,
2003-01,-276.892,
2003-04,1263.648,
2003-07,-344.484,
2003-10,-2127.355,
2004-01,-1071.964,
2004-04,-1534.498,
2004-07,612.547,
2004-10,-2142.102,
2005-01,1125.007,
2005-04,-2765.834,
2005-07,429.502,
2005-10,2556.247,
2006-01,2948.979,
2006-04,-1127.903,
2006-07,-2082.507,
2006-10,2274.018,
2007-01,-98.849,
2007-04,1944.387,
2007-07,568.359,
2007-10,-9560.329,
2008-01,2895.145,
2008-04,-559.088,
2008-07,310.481,
2008-10,8831.108,
2009-01,1761.302,
2009-04,-628.599,
2009-07,-973.385,
2009-10,1069.212,
2010-01,1529.480,
2010-04,2123.942,
2010-07,-313.379,
2010-10,3544.119,
2011-01,2061.511,
2011-04,1207.129,
2011-07,-1020.759,
2011-10,5223.046,
2012-01,3904.365,
2012-04,-882.233,
2012-07,-4686.254,
2012-10,2134.509,
2013-01,8551.307,
2013-04,1475.864,
2013-07,-100.666,
2013-10,-181.815,
2014-01,3418.338,Provisional value
2014-04,-961.287,Provisional value
2014-07,-1487.541,Provisional value
2014-10,-3308.680,Provisional value
