"",BBK01.OECB09G,BBK01.OECB09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:45,
2002-01,10.086,
2002-04,9.811,
2002-07,9.852,
2002-10,9.279,
2003-01,8.295,
2003-04,8.394,
2003-07,8.216,
2003-10,7.942,
2004-01,7.960,
2004-04,8.025,
2004-07,7.651,
2004-10,7.128,
2005-01,7.179,
2005-04,8.084,
2005-07,7.237,
2005-10,6.688,
2006-01,7.396,
2006-04,7.904,
2006-07,7.566,
2006-10,7.116,
2007-01,7.602,
2007-04,7.989,
2007-07,8.268,
2007-10,8.071,
2008-01,8.594,
2008-04,9.114,
2008-07,9.372,
2008-10,9.360,
2009-01,10.953,
2009-04,11.713,
2009-07,11.017,
2009-10,10.092,
2010-01,10.806,
2010-04,10.755,
2010-07,9.844,
2010-10,9.345,
2011-01,9.389,
2011-04,9.630,
2011-07,9.377,
2011-10,8.911,
2012-01,9.202,
2012-04,9.655,
2012-07,9.060,
2012-10,8.656,
2013-01,9.391,
2013-04,9.623,
2013-07,9.450,
2013-10,9.464,
2014-01,10.033,
2014-04,10.187,
2014-07,9.964,
