"",BBK01.OEAD13K,BBK01.OEAD13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:36,
2002-01,0.084,
2002-04,0.083,
2002-07,0.064,
2002-10,0.068,
2003-01,0.070,
2003-04,0.084,
2003-07,0.070,
2003-10,0.054,
2004-01,0.056,
2004-04,0.050,
2004-07,0.039,
2004-10,0.043,
2005-01,0.037,
2005-04,0.040,
2005-07,0.048,
2005-10,0.044,
2006-01,0.035,
2006-04,0.038,
2006-07,0.035,
2006-10,0.044,
2007-01,0.056,
2007-04,0.059,
2007-07,0.065,
2007-10,0.052,
2008-01,0.048,
2008-04,0.057,
2008-07,0.045,
2008-10,0.028,
2009-01,0.049,
2009-04,0.039,
2009-07,0.036,
2009-10,0.035,
2010-01,0.037,
2010-04,0.036,
2010-07,0.025,
2010-10,0.027,
2011-01,0.036,
2011-04,0.035,
2011-07,0.038,
2011-10,0.031,
2012-01,0.032,
2012-04,0.041,
2012-07,0.039,
2012-10,0.025,
2013-01,0.032,
2013-04,0.031,
2013-07,0.025,
2013-10,0.020,
2014-01,0.018,
2014-04,0.017,
2014-07,0.019,
