"",BBFN1.M.DE.N.1.L.PE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Peru,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:10,
1994-12,0.025,
1995-01,0.026,
1995-02,0.023,
1995-03,0.021,
1995-04,0.023,
1995-05,0.026,
1995-06,0.022,
1995-07,0.026,
1995-08,0.029,
1995-09,0.028,
1995-10,0.029,
1995-11,0.030,
1995-12,0.031,
1996-01,0.034,
1996-02,0.047,
1996-03,0.027,
1996-04,0.028,
1996-05,0.031,
1996-06,0.034,
1996-07,0.039,
1996-08,0.040,
1996-09,0.044,
1996-10,0.056,
1996-11,0.052,
1996-12,0.048,
1997-01,0.062,
1997-02,0.066,
1997-03,0.066,
1997-04,0.074,
1997-05,0.066,
1997-06,0.065,
1997-07,0.067,
1997-08,0.069,
1997-09,0.063,
1997-10,0.056,
1997-11,0.058,
1997-12,0.044,
1998-01,0.070,
1998-02,0.075,
1998-03,0.037,
1998-04,0.036,
1998-05,0.049,
1998-06,0.057,
1998-07,0.056,
1998-08,0.056,
1998-09,0.055,
1998-10,0.056,
1998-11,0.052,
1998-12,0.043,
1999-01,0.041,
1999-02,0.036,
1999-03,0.034,
1999-04,0.035,
1999-05,0.040,
1999-06,0.037,
1999-07,0.039,
1999-08,0.039,
1999-09,0.033,
1999-10,0.035,
1999-11,0.036,
1999-12,0.038,
2000-01,0.028,
2000-02,0.027,
2000-03,0.028,
2000-04,0.030,
2000-05,0.031,
2000-06,0.032,
2000-07,0.032,
2000-08,0.031,
2000-09,0.028,
2000-10,0.028,
2000-11,0.028,
2000-12,0.036,
2001-01,0.035,
2001-02,0.031,
2001-03,0.030,
2001-04,0.030,
2001-05,0.034,
2001-06,0.036,
2001-07,0.039,
2001-08,0.042,
2001-09,0.034,
2001-10,0.034,
2001-11,0.039,
2001-12,0.033,
2002-01,0.031,
2002-02,0.031,
2002-03,0.024,
2002-04,0.025,
2002-05,0.027,
2002-06,0.024,
2002-07,0.027,
2002-08,0.030,
2002-09,0.032,
2002-10,0.034,
2002-11,0.027,
2002-12,0.034,
2003-01,0.035,
2003-02,0.035,
2003-03,0.033,
2003-04,0.028,
2003-05,0.027,
2003-06,0.028,
2003-07,0.029,
2003-08,0.028,
2003-09,0.025,
2003-10,0.023,
2003-11,0.025,
2003-12,0.026,
2004-01,0.024,
2004-02,0.023,
2004-03,0.026,
2004-04,0.021,
2004-05,0.023,
2004-06,0.023,
2004-07,0.024,
2004-08,0.023,
2004-09,0.025,
2004-10,0.021,
2004-11,0.021,
2004-12,0.032,
2005-01,0.020,
2005-02,0.029,
2005-03,0.018,
2005-04,0.024,
2005-05,0.026,
2005-06,0.027,
2005-07,0.043,
2005-08,0.036,
2005-09,0.067,
2005-10,0.043,
2005-11,0.041,
2005-12,0.044,
2006-01,0.055,
2006-02,0.043,
2006-03,0.040,
2006-04,0.040,
2006-05,0.052,
2006-06,0.044,
2006-07,0.051,
2006-08,0.041,
2006-09,0.045,
2006-10,0.067,
2006-11,0.045,
2006-12,0.049,
2007-01,0.052,
2007-02,0.058,
2007-03,0.059,
2007-04,0.053,
2007-05,0.049,
2007-06,0.052,
2007-07,0.052,
2007-08,0.058,
2007-09,0.048,
2007-10,0.043,
2007-11,0.044,
2007-12,0.071,
2008-01,0.058,
2008-02,0.055,
2008-03,0.055,
2008-04,0.093,
2008-05,0.062,
2008-06,0.065,
2008-07,0.081,
2008-08,0.074,
2008-09,0.077,
2008-10,0.080,
2008-11,0.095,
2008-12,0.111,
2009-01,0.121,
2009-02,0.116,
2009-03,0.132,
2009-04,0.119,
2009-05,0.119,
2009-06,0.121,
2009-07,0.122,
2009-08,0.129,
2009-09,0.158,
2009-10,0.166,
2009-11,0.153,
2009-12,0.158,
2010-01,0.146,
2010-02,0.087,
2010-03,0.170,
2010-04,0.121,
2010-05,0.158,
2010-06,0.168,
2010-07,0.103,
2010-08,0.097,
2010-09,0.161,
2010-10,0.128,
2010-11,0.141,
2010-12,0.209,
2011-01,0.190,
2011-02,0.183,
2011-03,0.165,
2011-04,0.162,
2011-05,0.149,
2011-06,0.199,
2011-07,0.158,
2011-08,0.165,
2011-09,0.234,
2011-10,0.190,
2011-11,0.196,
2011-12,0.241,
2012-01,0.197,
2012-02,0.225,
2012-03,0.206,
2012-04,0.204,
2012-05,0.215,
2012-06,0.303,
2012-07,0.243,
2012-08,0.307,
2012-09,0.272,
2012-10,0.270,
2012-11,0.257,
2012-12,0.335,
2013-01,0.273,
2013-02,0.290,
2013-03,0.353,
2013-04,0.270,
2013-05,0.280,
2013-06,0.352,
2013-07,0.300,
2013-08,0.299,
2013-09,0.181,
2013-10,0.271,
2013-11,0.263,
2013-12,0.263,
2014-01,0.239,
2014-02,0.241,
2014-03,0.258,
2014-04,0.240,
2014-05,0.252,
2014-06,0.264,
2014-07,0.266,
2014-08,0.308,
2014-09,0.303,
2014-10,0.251,
2014-11,0.284,
2014-12,0.308,
