"",BBK01.OEAD15P,BBK01.OEAD15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:01,
2002-01,0.168,
2002-04,0.187,
2002-07,0.166,
2002-10,0.109,
2003-01,0.141,
2003-04,0.128,
2003-07,0.141,
2003-10,0.131,
2004-01,0.125,
2004-04,0.125,
2004-07,0.112,
2004-10,0.102,
2005-01,0.107,
2005-04,0.111,
2005-07,0.086,
2005-10,0.072,
2006-01,0.079,
2006-04,0.105,
2006-07,0.082,
2006-10,0.079,
2007-01,0.083,
2007-04,0.078,
2007-07,0.080,
2007-10,0.070,
2008-01,0.057,
2008-04,0.072,
2008-07,0.063,
2008-10,0.057,
2009-01,0.056,
2009-04,0.051,
2009-07,0.061,
2009-10,0.050,
2010-01,0.073,
2010-04,0.080,
2010-07,0.072,
2010-10,0.083,
2011-01,0.095,
2011-04,0.086,
2011-07,0.090,
2011-10,0.104,
2012-01,0.105,
2012-04,0.093,
2012-07,0.092,
2012-10,0.091,
2013-01,0.110,
2013-04,0.106,
2013-07,0.141,
2013-10,0.116,
2014-01,0.134,
2014-04,0.118,
2014-07,0.108,
