"",BBK01.OEAH25P,BBK01.OEAH25P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:33,
2002-01,8.189,
2002-04,8.044,
2002-07,7.859,
2002-10,8.119,
2003-01,8.314,
2003-04,8.337,
2003-07,8.376,
2003-10,8.571,
2004-01,8.579,
2004-04,8.534,
2004-07,8.506,
2004-10,8.695,
2005-01,9.038,
2005-04,8.994,
2005-07,8.954,
2005-10,9.103,
2006-01,9.065,
2006-04,8.980,
2006-07,8.873,
2006-10,8.927,
2007-01,8.823,
2007-04,8.701,
2007-07,8.592,
2007-10,8.653,
2008-01,8.508,
2008-04,8.390,
2008-07,8.154,
2008-10,8.363,
2009-01,8.410,
2009-04,8.526,
2009-07,8.694,
2009-10,8.963,
2010-01,9.105,
2010-04,9.150,
2010-07,9.132,
2010-10,9.286,
2011-01,9.264,
2011-04,9.215,
2011-07,9.119,
2011-10,9.152,
2012-01,9.143,
2012-04,9.027,
2012-07,8.929,
2012-10,8.982,
2013-01,8.832,
2013-04,8.696,
2013-07,8.543,
2013-10,8.550,
2014-01,8.458,
2014-04,8.370,
2014-07,8.323,
