"",BBK01.OEAC22K,BBK01.OEAC22K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:01,
2002-01,1.230,
2002-04,1.003,
2002-07,0.917,
2002-10,1.031,
2003-01,0.911,
2003-04,0.943,
2003-07,1.280,
2003-10,1.474,
2004-01,1.755,
2004-04,1.312,
2004-07,1.109,
2004-10,0.972,
2005-01,0.814,
2005-04,0.922,
2005-07,1.181,
2005-10,1.009,
2006-01,0.854,
2006-04,0.917,
2006-07,1.116,
2006-10,1.251,
2007-01,1.240,
2007-04,1.242,
2007-07,1.650,
2007-10,1.592,
2008-01,1.820,
2008-04,1.925,
2008-07,1.857,
2008-10,1.977,
2009-01,2.008,
2009-04,1.991,
2009-07,1.991,
2009-10,2.621,
2010-01,2.372,
2010-04,2.458,
2010-07,2.059,
2010-10,1.756,
2011-01,1.676,
2011-04,1.694,
2011-07,1.937,
2011-10,2.002,
2012-01,1.892,
2012-04,2.050,
2012-07,2.180,
2012-10,1.756,
2013-01,1.723,
2013-04,1.680,
2013-07,1.643,
2013-10,1.202,
2014-01,1.173,
2014-04,1.020,
2014-07,0.692,
