"",BBSF2.M.1.S.I0015.SON01.I.F.ANZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.SON01.I.F.ANZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Number / Private non-profit institutions / Distribution and cumulative funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:53:39,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,-,Nothing exists
2009-12,-,Nothing exists
2010-01,3,
2010-02,3,
2010-03,3,
2010-04,3,
2010-05,1,
2010-06,1,
2010-07,1,
2010-08,1,
2010-09,1,
2010-10,1,
2010-11,1,
2010-12,2,
2011-01,2,
2011-02,2,
2011-03,2,
2011-04,3,
2011-05,3,
2011-06,4,
2011-07,4,
2011-08,9,
2011-09,9,
2011-10,38,
2011-11,38,
2011-12,38,
2012-01,38,
2012-02,38,
2012-03,39,
2012-04,39,
2012-05,39,
2012-06,39,
2012-07,39,
2012-08,39,
2012-09,39,
2012-10,37,
2012-11,37,
2012-12,38,
2013-01,37,
2013-02,37,
2013-03,37,
2013-04,37,
2013-05,38,
2013-06,38,
2013-07,38,
2013-08,38,
2013-09,38,
2013-10,38,
2013-11,38,
2013-12,40,
2014-01,40,
2014-02,40,
2014-03,40,
2014-04,40,
2014-05,40,
2014-06,41,
2014-07,41,
2014-08,47,
2014-09,47,
2014-10,46,
2014-11,46,
